id,position,label,description,start_date,end_date,term,constituency
Q5804242,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5829897,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5829897,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5833206,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5846799,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5851029,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5865160,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5865160,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5865517,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5878421,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5888283,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5894858,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5928068,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5928068,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5930460,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5935606,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5935606,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5938355,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5940123,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5940123,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5940656,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5940656,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5941545,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5945029,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5946622,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5977552,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5992337,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6002129,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6003878,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6003878,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q6037076,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6093372,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6107974,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6107974,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q6108068,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6108393,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6108393,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q6110490,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6110490,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q6112158,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6113181,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6113181,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q6117434,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6117631,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6152748,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6299090,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q6299090,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q6533391,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q7159849,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q7820523,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q7820523,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q8963888,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q9012790,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q9022557,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q9066352,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q961812,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
