id,position,label,description,start_date,term,constituency,election,end_date,replaces,replaced_by
Q16194369,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Buchosa,"Tanzanian general election, 2015",,,
Q16194573,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Konde,"Tanzanian general election, 2015",,,
Q16194781,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mtambile,"Tanzanian general election, 2015",,,
Q16194800,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195008,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195127,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195154,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195184,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mwibara,"Tanzanian general election, 2015",,,
Q16195210,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mufindi North,"Tanzanian general election, 2015",,,
Q16195214,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195227,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195370,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mpendae,"Tanzanian general election, 2015",,,
Q16195564,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16195625,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nungwi,"Tanzanian general election, 2015",,,
Q16195672,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Vunjo,"Tanzanian general election, 2015",,,
Q16195709,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196108,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibaha Urban,"Tanzanian general election, 2015",,,
Q16196143,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196171,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196171,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Iringa Urban,"Tanzanian general election, 2015",,,
Q16196179,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196351,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Bukene,"Tanzanian general election, 2015",,,
Q16196389,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196527,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16196584,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mbogwe,"Tanzanian general election, 2015",,,
Q16196632,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Rorya,"Tanzanian general election, 2015",,,
Q16197043,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mkinga,"Tanzanian general election, 2015",,,
Q16197097,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kwimba,"Tanzanian general election, 2015",,,
Q16197150,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16199703,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mpanda Rural,"Tanzanian general election, 2015",,,
Q16199711,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16199711,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kalambo,"Tanzanian general election, 2015",,,
Q16200074,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Singida East,"Tanzanian general election, 2015",,,
Q16205730,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mufindi South,"Tanzanian general election, 2015",,,
Q16206282,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kigamboni,"Tanzanian general election, 2015",,,
Q16207202,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Babati Rural,"Tanzanian general election, 2015",,,
Q16207710,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16211651,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibaha Rural,"Tanzanian general election, 2015",,,
Q16212523,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213460,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Busanda,"Tanzanian general election, 2015",,,
Q16213580,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Micheweni,"Tanzanian general election, 2015",,,
Q16213626,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213631,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213795,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16213952,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16214062,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mtera,"Tanzanian general election, 2015",,,
