name,wikiname__sq,area,party,term,source,wikiname__en,id
Igli Cara,,Durrës County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Igli Cara,igli_cara
Ilir Bano,,Fier County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ilir Bano,ilir_bano
Ilir Bejtja,,Elbasan County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ilir Bejtja,ilir_bejtja
Ilir Beqja,,Shkodër County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ilir Beqja,ilir_beqja
Ilir Gjoni,,Tirana County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ilir Gjoni,ilir_gjoni
Ilir Meta,,Tirana County,Socialist Movement for Integration,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ilir Meta,ilir_meta
Ilir Rusmali,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ilir Rusmali,ilir_rusmali
Ismail Hoxha,,Korçë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ismail Hoxha,ismail_hoxha
Jemin Gjana,,Dibër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Jemin Gjana,jemin_gjana
Jozefina Topalli,,Shkodër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Jozefina Topalli,jozefina_topalli
Kastriot Islami,,Tirana County,Independent,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Kastriot Islami,kastriot_islami
Klodiana Spahiu,,Durrës County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Klodiana Spahiu,klodiana_spahiu
Kreshnik Çipi,,Vlorë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Kreshnik Çipi,kreshnik_Çipi
Lajla Pernaska,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Lajla Pernaska,lajla_pernaska
Ledina Aliolli,,Korçë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ledina Aliolli,ledina_aliolli
Lefter Koka,,Durrës County,Socialist Movement for Integration,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Lefter Koka,lefter_koka
Lefter Maliqi,,Berat County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Lefter Maliqi,lefter_maliqi
Leonard Demi,,Vlorë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Leonard Demi,leonard_demi
Luan Skuqi,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Luan Skuqi,luan_skuqi
Luiza Xhuvani,,Vlorë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Luiza Xhuvani,luiza_xhuvani
Lulzim Basha,,Elbasan County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Lulzim Basha,lulzim_basha
Luçiano Boçi,,Elbasan County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Luçiano Boçi,luçiano_boçi
Majlinda Bregu,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Majlinda Bregu,majlinda_bregu
Mark Marku,,Lezhë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Mark Marku,mark_marku
Marko Bello,,Berat County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Marko Bello,marko_bello
Mehmet Xheka,,Berat County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Mehmet Xheka,mehmet_xheka
Mesila Doda,,Fier County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Mesila Doda,mesila_doda
Mimi Kodheli,,Korçë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Mimi Kodheli,mimi_kodheli
Myqerem Tafaj,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Myqerem Tafaj,myqerem_tafaj
Namik Dokle,,Tirana County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Namik Dokle,namik_dokle
Nasip Naço,,Berat County,Socialist Movement for Integration,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Nasip Naço,nasip_naço
Ndue Kola,,Shkodër County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ndue Kola,ndue_kola
Ndue Paluca,,Shkodër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ndue Paluca,ndue_paluca
Olta Xhacka,,Korçë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Olta Xhacka,olta_xhacka
Osman Metalla,,Durrës County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Osman Metalla,osman_metalla
Pandeli Majko,,Korçë County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Pandeli Majko,pandeli_majko
Paulin Sterkaj,,Shkodër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Paulin Sterkaj,paulin_sterkaj
Pavlina Hoti,,Lezhë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Pavlina Hoti,pavlina_hoti
Piro Lutaj,,Fier County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Piro Lutaj,piro_lutaj
Qemal Minxhozi,,Dibër County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Qemal Minxhozi,qemal_minxhozi
Rajmonda Bulku,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Rajmonda Bulku,rajmonda_bulku
Ridvan Bode,,Korçë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ridvan Bode,ridvan_bode
Rrahim Çota,,Elbasan County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Rrahim Çota,rrahim_Çota
Rrajmond Hoxha,,Lezhë County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Rrajmond Hoxha,rrajmond_hoxha
Rudina Seseri,,Durrës County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Rudina Seseri,rudina_seseri
Sadri Abazi,,Dibër County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Sadri Abazi,sadri_abazi
Sajmir Tahiri,,Tirana County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Sajmir Tahiri,sajmir_tahiri
Sali Berisha,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Sali Berisha,sali_berisha
Selami Xhepa,,Dibër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Selami Xhepa,selami_xhepa
Shegush Ligori,,Elbasan County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Shegush Ligori,shegush_ligori
Sherefedin Shehu,,Dibër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Sherefedin Shehu,sherefedin_shehu
Shpetim Idrizi,,Vlorë County,PDIU,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Shpetim Idrizi,shpetim_idrizi
Skender Hasa,,Elbasan County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Skender Hasa,skender_hasa
Sokol Olldashi,,Fier County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Sokol Olldashi,sokol_olldashi
Spiro Ksera,,Gjirokastër County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Spiro Ksera,spiro_ksera
Sybi Hida,,Elbasan County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Sybi Hida,sybi_hida
Taulant Balla,,Elbasan County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Taulant Balla,taulant_balla
Tom Doshi,,Shkodër County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Tom Doshi,tom_doshi
Tritan Shehu,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Tritan Shehu,tritan_shehu
Valentina Leskaj,,Elbasan County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Valentina Leskaj,valentina_leskaj
Vangjel Dule,,Vlorë County,Unity for Human Rights Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Vangjel Dule,vangjel_dule
Vangjel Tavo,,Gjirokastër County,Socialist Movement for Integration,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Vangjel Tavo,vangjel_tavo
Vasilika Hysi,,Tirana County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Vasilika Hysi,vasilika_hysi
Vasillaq Ngresi,,Fier County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Vasillaq Ngresi,vasillaq_ngresi
Viktor Gumi,,Tirana County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Viktor Gumi,viktor_gumi
Xhemal Qefalia,,Tirana County,Socialist Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Xhemal Qefalia,xhemal_qefalia
Ylli Lama,,Durrës County,Democratic Party,7,"https://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Albania,_2009%E2%80%932013",Ylli Lama,ylli_lama
