name,area,image,party,term,end_date
Faraj Abdullah Hashem,Merj,https://www.temehu.com/pictures3/hor13/21-merj.jpg,Independent,1,
Faraj Bashir Abdulmalik,Sabratah,https://www.temehu.com/pictures1/hor11/abdulmalik-bashir.jpg,Independent,1,
Fathallah Housein Abdulkarim,Ajdabiya,https://www.temehu.com/pictures3/hor13/fathella-abdulkarim.jpg,Independent,1,
Fathi Abdulrahim Alqabasi,Awjilah,https://www.temehu.com/pictures3/hor13/fathi-alqabbasi.jpg,Independent,1,
Fathi Abdulsalam Alsharif,Qasr Alakhyar,https://www.temehu.com/pictures2/hor12/662-qasr-akhyar.jpg,Independent,1,
Fathi Ali Bashagha,Mesratha,https://www.temehu.com/pictures3/hor13/fathi-bashagha.jpg,Independent,1,
Fatima Aboubaker Abousa'adah,Sabha,https://www.temehu.com/pictures2/hor12/585-sabha.jpg,Independent,1,
Fatima Ahmed Karis,Awjilah + Jalu + Jakharrad,https://www.temehu.com/pictures1/hor11/1341-jalu-awjla-women-2.jpg,Independent,1,
Fatimah Abdulsalam Alsou'ai,Awbari,https://www.temehu.com/pictures1/hor11/1015-awbari.jpg,Independent,1,
Fouzi Althaher Alnweiry,Surman,https://www.temehu.com/pictures2/hor12/1526-serman.jpg,Independent,1,
Fouziyyah Muhammed Aboghalya,Tripoli Centre,https://www.temehu.com/pictures1/hor11/1173-tripoli-centre.jpg,Independent,1,
Friha Abdulsalam Alhadiri,Ajdabiya + Brega,https://www.temehu.com/pictures2/hor12/1490-ejdabiyah-brega2.jpg,Independent,1,
Hamed Muhammed Maqiq,Jalu + Jakharrad,https://www.temehu.com/pictures2/hor12/hmed-maqiq.jpg,Independent,1,
Hamoudah Ahmed Sayyala,Tripoli Centre,https://www.temehu.com/pictures1/hor11/1171-tripoli-centre.jpg,Independent,1,
Hana Khalifa Khalid Abodeib,Tripoli: Hay Alandulus,https://www.temehu.com/pictures3/hor13/871-hay-andulus.jpg,Independent,1,
Hanan Muhammed Shlouf,Mesratha (Misrata),https://www.temehu.com/pictures2/hor12/hanan-shellouf.jpg,Independent,1,
Hasen Abubaker Omar Saleh,Awbari,https://www.temehu.com/pictures3/hor13/1730-awbari.jpg,Independent,1,
Hasen Alfurjani Salem,Tarhunah,https://www.temehu.com/pictures2/hor12/678-tarhouna.jpg,Independent,1,
Hasen Althaher Musbah,Bani Walid,https://www.temehu.com/pictures2/hor12/hsein-altaher-musbah.jpg,Independent,1,
Hasen Saleh Alzarqa,Sirte,https://www.temehu.com/pictures3/hor13/972-sirte.jpg,Independent,1,
Hujrah Abdulsalam Eskenda,Awbari,https://www.temehu.com/pictures3/hor13/1729-awbari.jpg,Independent,1,2014-08-04
Ibrahim Abdullah Alzaghid,Gmines,https://www.temehu.com/pictures2/hor12/166-gmines.jpg,Independent,1,
Ibrahim Abubaker Aldarsi,Benghazi,https://www.temehu.com/pictures3/hor13/852-benghazi.jpg,Independent,1,
Ibrahim Fathi 'Ameish,Benghazi,https://www.temehu.com/pictures3/hor13/302-benghazi.jpg,Independent,1,
Ibrahim Muftah Hamed Salem,Sirte,https://www.temehu.com/pictures2/hor12/560-sirte.jpg,Independent,1,2014-08-04
Ibrahim Muhammed Krenfouda,Awbari,https://www.temehu.com/pictures2/hor12/620-awbari.jpg,Independent,1,
Ibrahim Musbah Alhadi,Sabha,https://www.temehu.com/pictures2/hor12/695-sabha.jpg,Independent,1,
Ibtisam Abdulhafid Omar Salem,Aziziyah,https://www.temehu.com/pictures3/hor13/1781-aziziyah.jpg,Independent,1,
Ibtisam Abdulsalam Ben Jum'aa,Castelverde,https://www.temehu.com/pictures1/hor11/469-castelverde.jpg,Independent,1,
Idris Abdullah Faraj,Brega,https://www.temehu.com/pictures2/hor12/565-brega.jpg,Independent,1,
Idris Omran Adam,Bayda,https://www.temehu.com/pictures1/hor11/409-bayda.jpg,Independent,1,
Ism Abdullah Aljahani,Benghazi,https://www.temehu.com/pictures1/hor11/1120-benghazi-2.jpg,Independent,1,
Ismaeil Muhammed Ismaeil,Jufra,https://www.temehu.com/pictures3/hor13/341-jufrah.jpg,Independent,1,
Jaballah Muhammed Jaballah,Tawergha,https://www.temehu.com/pictures3/hor13/1807-tawergha.jpg,Independent,1,
Jalal Saleh Ashwihdi,Benghazi,https://www.temehu.com/pictures1/hor11/1108-benghazi.jpg,Independent,1,
Kamal Albashir Aljamel,Mesratha,https://www.temehu.com/pictures1/hor11/kamal-bashir.jpg,Independent,1,
Khadijah Ahmed Alzarouq,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/353-wadi-shathi.jpg,Independent,1,
Khalid Ali Muhammed Alostha,Tripoli: Tajoura,https://www.temehu.com/pictures2/hor12/1597-tajoura.jpg,Independent,1,
Khalifa Saleh Aldghari,Qasr Libya,https://www.temehu.com/pictures1/hor11/415-qaserlibya.jpg,Independent,1,
Loua Muhammed Alghawi,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/993-souq-jumaa.jpg,Independent,1,
Masa'ab Muhammed Abolqasem,Tripoli: Hay Alandulus,https://www.temehu.com/pictures1/hor11/1330-hay-andulus.jpg,Independent,1,
Mdellah Muhammed Qendah,Jufra,https://www.temehu.com/pictures2/hor12/1463-jufrah.jpg,Independent,1,
Mu'ad Rafi'a Saleh Masoud,Jufra,https://www.temehu.com/pictures2/hor12/1470-jufrah3.jpg,Independent,1,
Muftah Athiyah Alsha'ari,Tobruk,https://www.temehu.com/pictures1/hor11/431-tobruk.jpg,Independent,1,
Muftah Esa Alkertihi,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/357-wadi-shathi.jpg,Independent,1,
Muftah Mraji'a Ekwider,Benghazi,https://www.temehu.com/pictures2/hor12/1593-benghazi.jpg,Independent,1,
Muhammed Abdulkarim Alra'id,Mesratha,https://www.temehu.com/pictures1/hor11/alraid-abdulkarim.jpg,Independent,1,
Muhammed Abdulsalam 'Arifah,Sabha,https://www.temehu.com/pictures3/hor13/180-sabha.jpg,Independent,1,
Muhammed Adam Lino,Murzuq,https://www.temehu.com/pictures3/hor13/265-murzuq.jpg,Independent,1,
Muhammed Ahmed Niqro,Arrihibat,https://www.temehu.com/pictures3/hor13/279-rhibat.jpg,Independent,1,
Muhammed Alhadi Ben Khalil,Zliten,https://www.temehu.com/pictures1/hor11/khalil-benhashmi-ali.jpg,Independent,1,
Muhammed Ali Amoumen,Wadi 'Aitbah,https://www.temehu.com/pictures3/hor13/261-wadi-atbah.jpg,Independent,1,
Muhammed Ali Ibrahim,Bani Walid,https://www.temehu.com/pictures1/hor11/ibrahim-ali-alwaer.jpg,Independent,1,
Muhammed Almahdi Alhdiri,Sabha,https://www.temehu.com/pictures1/hor11/1249-sabha.jpg,Independent,1,
Muhammed Bashir Alfayres,Tripoli: Ben Ghashir,https://www.temehu.com/pictures3/hor13/22.qasr-ben-ghashir.jpg,Independent,1,
Muhammed Ibrahim Aldrrath,Mesratha,https://www.temehu.com/pictures1/hor11/alderrat-ali-ibrahim.jpg,Independent,1,
Muhammed Ibrahim Tamer,Traghen,https://www.temehu.com/pictures3/hor13/911-traghen.jpg,Independent,1,
Muhammed Ma'atoug Ejdid,Sabha,https://www.temehu.com/pictures2/hor12/733-sabha.jpg,Independent,1,
Muhammed Mansour Hnish,Mesratha,https://www.temehu.com/pictures1/hor11/hanish-ali-mansour.jpg,Independent,1,
Muhammed Musa Douma,Tazerbu,https://www.temehu.com/pictures1/hor11/493-tazerbu.jpg,Independent,1,
Muhammed Mustafa Rashed,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures1/hor11/1143-souq-jumaa.jpg,Independent,1,
Muhammed Omar Al'abani,Tarhunah,https://www.temehu.com/pictures3/hor13/290-tarhouna.jpg,Independent,1,
Muhammed Othman Ali Alshamakhi,Khoms City,https://www.temehu.com/pictures3/hor13/273-khoms-city.jpg,Independent,1,2014-08-04
Muhammed Sa'ad Saleh,Ajdabiya,https://www.temehu.com/pictures2/hor12/564-ejdabiyah.jpg,Independent,1,
Muna Adam Alghithi,Qubah,https://www.temehu.com/pictures3/hor13/qubbah-muna-adam.jpg,Independent,1,
Musbah Douma Ohidah,Sabha,https://www.temehu.com/pictures2/hor12/592-sabha.jpg,Independent,1,
Musbah Miloud Albadawi,Nasiriyah,https://www.temehu.com/pictures1/hor11/393-nasiriyah.jpg,Independent,1,
Mustafa Abushagour Abushagour,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/mustafa-abushagur.jpg,Independent,1,
Mustafa Ahmed Abdulali,Ajdabiya,https://www.temehu.com/pictures1/hor11/muhammed-abdulali-mustafa.jpg,Independent,1,
N'aim Muhammed Abdulrahman,Gharyan,https://www.temehu.com/pictures3/hor13/1720-gheryan.jpg,Independent,1,
Na'ima Ramadan Dalf,Zliten,https://www.temehu.com/pictures1/hor11/delf-naima.jpg,Independent,1,
Naser Yousef Algheryani,Ghat,https://www.temehu.com/pictures2/hor12/619-ghat.jpg,Independent,1,
Nasereddin Mahni Muftah,Cyrene,https://www.temehu.com/pictures1/hor11/395-cyrene.jpg,Independent,1,
Nureddin Khalid Abdulhamid,Tobruk,https://www.temehu.com/pictures1/hor11/426-tobruk.jpg,Independent,1,
Omar Ali Alajili Tantoush,Mayah,https://www.temehu.com/pictures3/hor13/864-mayah.jpg,Independent,1,
Omar Ghaith Abokader,Zintan,https://www.temehu.com/pictures3/hor13/833-zintan.jpg,Independent,1,
Omar Salem Alarabi,Ryayna,https://www.temehu.com/pictures3/hor13/282-rayayna.jpg,Independent,1,
