id,wikidata
75_4,Q3413548
75_5,Q2972947
75_5,Q2972946
75_6,Q3485683
75_6,Q2407461
75_6,Q16040917
75_7,Q2385238
75_7,Q3479030
75_7,Q3479029
75_8,Q3142928
75_8,Q3142924
75_8,Q3142929
75_9,Q3338754
75_9,Q3338757
75_9,Q3338760
75_10,Q3032608
75_10,Q3032605
75_10,Q3032607
75_11,Q3352896
75_11,Q3352897
75_11,Q3352894
75_12,Q3038236
75_12,Q3038239
75_12,Q3038237
75_13,Q3538372
75_13,Q3538373
75_13,Q3538374
75_14,Q3413413
75_14,Q3413411
75_14,Q3413414
75_15,Q3414695
75_15,Q3414692
75_15,Q3414694
75_16,Q3477966
75_16,Q3477969
75_17,Q3032533
75_17,Q3032534
75_17,Q3032527
75_18,Q2421960
75_18,Q3032516
75_18,Q3032517
75_19,Q3032524
75_19,Q3032522
75_20,Q3560260
75_20,Q3560261
75_21,Q3560163
75_21,Q3560162
75_22,Q3560109
75_23,Q3560149
75_24,Q3560145
75_25,Q3560108
75_26,Q3560147
75_27,Q3560144
75_28,Q3560129
75_29,Q3560130
75_30,Q3538504
75_31,Q3538494
75_,Q2972948
76_1,Q3402098
76_2,Q3025228
76_3,Q3540147
76_4,Q3413588
76_5,Q2972969
76_6,Q3485701
76_7,Q3479041
76_8,Q3142942
76_9,Q3338771
76_10,Q3032614
76_11,Q3352898
76_12,Q3038242
77_1,Q3402022
77_2,Q3025146
77_3,Q3540105
77_4,Q3413551
77_5,Q2972950
77_6,Q3485684
77_7,Q3479031
77_8,Q3142931
77_9,Q3338759
77_10,Q3032609
77_11,Q2419333
78_1,Q3402129
78_2,Q3025252
78_3,Q3540163
78_4,Q3413604
78_5,Q2972980
78_6,Q3485708
78_7,Q3479046
78_8,Q3142950
78_9,Q3338776
78_10,Q3032623
78_11,Q3352904
78_12,Q3038246
79_1,Q3402118
79_2,Q3025244
79_3,Q3540156
79_4,Q3413597
80_1,Q3402107
80_2,Q3025233
80_3,Q3540151
80_4,Q3413592
80_5,Q2972975
80_6,Q3485705
81_1,Q3402153
81_2,Q3025271
81_3,Q3540179
81_4,Q3413622
82_1,Q3402026
82_2,Q3025158
83_1,Q3402162
83_2,Q3025276
83_3,Q3540182
83_4,Q3413625
83_5,Q2972996
83_6,Q3485726
83_7,Q3479055
83_8,Q3142963
84_1,Q3402027
84_2,Q3025164
84_3,Q3540107
84_4,Q3413553
84_5,Q2972951
85_1,Q3402105
85_2,Q3025231
85_3,Q3540150
85_4,Q3413590
85_5,Q2972972
86_1,Q3402109
86_2,Q3025236
86_3,Q731672
86_4,Q3413594
87_1,Q3402078
87_2,Q3025209
87_3,Q3540134
87_4,Q3413577
88_1,Q3402128
88_2,Q3025253
88_3,Q3540162
88_4,Q3413602
89_1,Q3402058
89_2,Q3025187
89_3,Q3540123
90_1,Q3402158
90_2,Q3025273
91_1,Q3402045
91_2,Q3025179
91_3,Q3540114
91_4,Q3413557
91_5,Q2972953
91_6,Q3485687
91_7,Q3479032
91_8,Q3142932
91_9,Q3338761
91_10,Q3032611
92_1,Q3402126
92_2,Q3025251
92_3,Q3540161
92_4,Q2362577
92_5,Q2972977
92_6,Q3485707
92_7,Q3479045
92_8,Q3142948
92_9,Q3338774
92_10,Q3032622
92_11,Q3352903
92_12,Q3038247
92_13,Q3538379
