id,position,label,description,start_date,end_date,constituency,replaces,replaced_by,election,term,party
Q12615371,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615381,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615445,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615595,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615620,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615758,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615823,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615854,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615868,Q12592560,,"",2001-03-26,2001-09-06,,Roh Moo-hyun,,,,
Q12615868,Q14850694,Member of National Assembly of South Korea,"",1996-05-30,2000-05-29,Jincheon County,,Chung Woo-taik,,,United Liberal Democrats
Q12615868,Q14850694,Member of National Assembly of South Korea,"",2000-05-30,2004-05-29,Jincheon County,Chung Woo-taik,,,,United Liberal Democrats
Q12615868,Q14850694,Member of National Assembly of South Korea,"",2012-05-30,2016-05-29,Sangdang-gu,,Chung Woo-taik,,,Liberty Korea Party
Q12615868,Q14850694,Member of National Assembly of South Korea,"",2016-05-30,2020-05-29,Sangdang-gu,Chung Woo-taik,,,,Liberty Korea Party
Q12615868,Q16179407,,Wikimedia list article,2006-07-01,2010-06-30,,,,,,
Q12615874,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615929,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616038,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616056,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616083,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616088,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616175,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616212,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616567,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616687,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12616968,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12617041,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12617148,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12617151,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12617313,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12617384,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12617992,Q14850694,Member of National Assembly of South Korea,"",2016-05-30,,,,,,,
Q12618257,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12618262,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12618296,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12618957,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12619482,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12619744,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12619978,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12622026,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12622556,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12624094,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12624300,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625372,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625446,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625469,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625477,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625495,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625864,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625912,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12625921,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q128284,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q14444444,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q14844783,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q14850573,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q15139412,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q15981015,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079743,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079799,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079857,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079861,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079862,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079865,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079899,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079903,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079924,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079929,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079938,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079943,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16079990,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080013,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080052,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080079,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080109,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080124,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080166,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080185,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080202,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080213,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080217,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080258,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080263,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080275,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080285,Q14850694,Member of National Assembly of South Korea,"",2016-05-30,,,,,"South Korean legislative election, 2016",20th Legislative Assembly,
Q16080318,Q12592375,,"",2017-08-14,,,,,,,
Q16080318,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080369,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080371,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080404,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080415,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080572,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080598,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080678,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080684,Q14850694,Member of National Assembly of South Korea,"","",,,,,"South Korean legislative election, 2012",19th Legislative Assembly,Liberty Korea Party
Q16080766,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080789,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16080797,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16081058,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16081369,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16081398,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16081489,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16081799,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16081992,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16082227,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16082619,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16082871,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16084079,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16084096,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16084248,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16084357,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16084564,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16084846,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090202,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090214,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090236,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090266,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090325,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090384,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090388,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090411,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090431,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090444,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090573,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090618,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090633,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090923,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16090936,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091044,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091058,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091091,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091115,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091168,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091179,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091259,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091262,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091294,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091444,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091529,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091570,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091644,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091728,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091815,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16091999,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16092129,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16092210,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16092339,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16092474,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16092650,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16093562,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16097146,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16161049,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16168735,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16169395,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16170128,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16171780,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16171892,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16172144,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16172376,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16172519,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16172538,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16172584,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16174531,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16174692,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16174774,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16174827,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16175169,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16175227,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16175316,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16175546,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16175970,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16176090,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16176163,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16176504,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16176504,Q16176423,,"",2017-07-03,,,,,,,
Q16176624,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16177689,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16178217,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16178652,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16179214,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16179475,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16180185,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16180333,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16180515,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16180737,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16180906,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16181031,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16181108,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16181269,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16181385,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16181688,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16181809,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16182713,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16182820,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16187393,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16189199,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16192512,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16219504,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16219508,Q14850694,Member of National Assembly of South Korea,"",2012-05-30,,,,,,,
Q16219529,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q16799644,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q17346198,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q17401310,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q17401410,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q17487316,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q17503255,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
