id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
56de4a62-024b-4ffb-8efa-f7149e1de5dc,Hassan Adili,Adili Hassan,,,,Parti de la Justice et du Développement,PJD,area/safi,SAFI,House of Representatives,10,,,,
4ea97c96-bba3-408e-b50f-f245207720a1,Hassan BENOMAR,Benomar Hassan,,,,Rassemblement National des Indépendants,RNI,area/ain_sebaa_-_hay_mohammadi,AIN SEBAA - HAY MOHAMMADI,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_131.jpg?itok=_VymDAJS,
6db5984d-0815-4e8d-b165-cec6b41b1899,Hassan EL FILALI,Filali Hassan,,,,Rassemblement National des Indépendants,RNI,area/tifelt_-_rommani,TIFELT - ROMMANI,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_147.jpg?itok=ZJ07JCuZ,
0c3a0f54-9a98-4dd9-aac3-9edcbf821ee9,Hassan HARRIS,Elharis Hassan,,,,Parti de la Justice et du Développement,PJD,area/settat,SETTAT,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_181.jpg?itok=xU3UBHyD,
46404c9f-8005-4331-98e3-e995d076fa57,Hassan Lanser,Lanser Hassan,,,,Mouvement Populaire,MP,area/boulemane,BOULEMANE,House of Representatives,10,,,,
5f86b12f-6457-4c26-9dfa-55eb3ae185eb,Hassan Oukacha,Oukacha Hassan,,,,Rassemblement National des Indépendants,RNI,area/benslimane,BENSLIMANE,House of Representatives,10,,,,
aba620fc-57f3-4888-a22f-93b71995178b,Hayat Boufrachen,Boufrachen Hayat,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
021dd12f-f63e-489c-ad62-a08f36596986,Hayat Elmechfoua,Elmechfoua Hayat,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
eeec4b0e-09d3-4926-941a-310848c7c4bc,Hayat Skihil,Skihil Hayat,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,female
4e14e39b-238b-4158-a35d-fdc942bf5ab3,Hicham Harami,Harami Hicham,,,,Parti Authenticité et Modernité,PAM,area/settat,SETTAT,House of Representatives,10,,,,
c7ec7cfc-eaf2-4e98-8e17-c5ae9c510dcb,Hicham Lemhajri,Lemhajri Hicham,,,,Parti Authenticité et Modernité,PAM,area/chichaoua,CHICHAOUA,House of Representatives,10,,,,
