id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1435438,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q1435438,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q1436925,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1436925,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1437096,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1437979,Q17441472,member of the Bürgerschaft of Bremen,"","",,,,,,,,
Q1437979,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1438177,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1438401,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1438401,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1438401,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1438708,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1438961,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1439517,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1441293,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1441293,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1441696,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1441696,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1442973,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q1442973,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1443359,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1443404,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q1443407,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444122,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444122,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1444124,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q1444124,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444160,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444180,Q17519166,Member of the Hessian Parliament,"","",,,,,,,,
Q1444180,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444196,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444196,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
