id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1000195,Q11902879,Lord Mayor,title of the mayor of a major city with special recognition,1989,,Wilfried Horn,1999,Hagen,,,,
Q1000195,Q1939555,member of the German Bundestag,deputy of the German parliament,1994,Hans-Günther Tötemeyer,René Röspel,1996,,,,,
Q1000337,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1000337,Q514725,Landrat,public official,"",,,,,,,,
Q100218,Q18327349,Member of the Landtag of Mecklenburg-Vorpommern,"",1998,,,2005,,,,,
Q100218,Q1939555,member of the German Bundestag,deputy of the German parliament,2005,,,,,,,,
Q100250,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100250,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q100255,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100294,Q18130496,Member of the Landtag of Schleswig-Holstein,"","",,,,,,,,
Q100294,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100304,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100304,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q100357,Q18327349,Member of the Landtag of Mecklenburg-Vorpommern,"","",,,,,,,,
Q100357,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100379,Q18130496,Member of the Landtag of Schleswig-Holstein,"","",,,,,,,,
Q100379,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100503,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100514,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100613,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q100613,Q17850767,member of the Reichstag of the Weimar Republic,German legislator between 1919 and 1933,"",,,,,,,,
Q100613,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100615,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100617,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q100617,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100617,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100797,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100797,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100805,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100805,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100805,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q100838,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100915,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q100915,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100915,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q100924,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100924,Q514725,Landrat,public official,"",,,,,,,,
Q100960,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q100960,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q100986,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q100986,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q100986,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,Petra Rode-Bosse,2015-10-20,,,,,
Q101061,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q101061,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101183,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101183,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q101192,Q140686,chairperson,highest officer of an organized group,1984,,,1985,Young Socialists in the SPD,,,,
Q101192,Q140686,chairperson,highest officer of an organized group,2014-01-15,,,2015-05-20,Defence Committee,,,,
Q101192,Q1939555,member of the German Bundestag,deputy of the German parliament,1998-10-26,,,2002-10-17,,,,,
Q101192,Q1939555,member of the German Bundestag,deputy of the German parliament,2002-10-17,,,2005-10-18,,,,,
Q101192,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q101192,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q101192,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,Karin Thissen,2015-05-20,,,,,
Q101192,Q896829,Parliamentary Commissioner for the Armed Forces,position,2015-05-20,Hellmut Königshaus,,,,,,,
Q101192,Q897395,executive board,executive board of a corporation (public limited company),"",,,,Deutsche Vereinigung für Politische Bildung e.V.,,,,
Q101206,Q1939555,member of the German Bundestag,deputy of the German parliament,1980,,,,,,,,
Q101296,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q101296,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101429,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q101429,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101504,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101543,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q101543,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101617,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q101617,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q101617,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q101632,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101632,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1016467,Q1939555,member of the German Bundestag,deputy of the German parliament,2009,,,,,,,,
Q1016467,Q736559,Secretary of State,minister or senior civil servant in the government of a state,2006,,Bernhard Sterz,2009,,,,,
Q1016490,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1016490,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1016516,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1016541,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q1016541,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101662,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101662,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q101701,Q17481175,Member of the Landtag of Baden-Württemberg,"","",,,,,,,,
Q101701,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101703,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,Ewa Klamt,2010-04-27,,,,,
Q101703,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,Delmenhorst – Wesermarsch – Oldenburg-Land,,,
Q101757,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1019016,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q1019016,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q1019023,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1019023,Q854201,district mayor,head of city district in Germany,"",,,,,,,,
Q1019029,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1019043,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1019050,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101967,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101974,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q101974,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101981,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q101981,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q101987,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q101987,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102062,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q102062,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102062,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q102210,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1022456,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q1022456,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1022456,Q514725,Landrat,public official,"",,,,,,,,
Q102304,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102386,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102393,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102408,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102456,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102471,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102471,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q102506,Q1939555,member of the German Bundestag,deputy of the German parliament,1994-11-10,,,1998-10-26,,,,,
Q102506,Q1939555,member of the German Bundestag,deputy of the German parliament,1998-10-26,,,2002-10-17,,,,,
Q102506,Q1939555,member of the German Bundestag,deputy of the German parliament,2002-10-17,,,2005-10-18,,,,,
Q102506,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q102506,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q102506,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q102655,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102698,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102698,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q102760,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102803,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q102803,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q102992,Q1939555,member of the German Bundestag,deputy of the German parliament,1990-12-20,,,1994-11-10,,,,,
Q102992,Q1939555,member of the German Bundestag,deputy of the German parliament,1994-11-10,,,1998-10-26,,,,,
Q102992,Q1939555,member of the German Bundestag,deputy of the German parliament,1998-10-26,,,2002-10-17,,,,,
Q102992,Q1939555,member of the German Bundestag,deputy of the German parliament,2002-10-17,,,2005-10-18,,,,,
Q102992,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q102992,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q102992,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q103165,Q1939555,member of the German Bundestag,deputy of the German parliament,2002-10-17,,,2005-10-18,,,,,
Q103165,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q103165,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q103165,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q103336,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103507,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103518,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q103518,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103519,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q103519,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q103519,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q103520,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103523,Q1939555,member of the German Bundestag,deputy of the German parliament,1994,,,,,,,,
Q103523,Q19731005,Parliamentary Secretary in Germany,"",2013-12,,,,,,,,
Q103529,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103529,Q813387,,"",1991,,,1998,,,,,
Q1035894,Q17334379,Member of the Landtag of Saxony,"","",,,,,,,,
Q1035894,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1035897,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1035897,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q103626,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1036421,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1036427,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1036430,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1036557,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103657,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103666,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103670,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q103670,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q103670,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q103710,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103712,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103721,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103740,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q103740,Q1939555,member of the German Bundestag,deputy of the German parliament,1990-12-20,,,1994-11-10,,,,,
Q103740,Q1939555,member of the German Bundestag,deputy of the German parliament,1994-11-10,,,1998-10-26,,,,,
Q103740,Q1939555,member of the German Bundestag,deputy of the German parliament,1998-10-26,,,2002-10-17,,,,,
Q103740,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q103740,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q103740,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q1037437,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q1037437,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1037703,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103781,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103781,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q103836,Q17850767,member of the Reichstag of the Weimar Republic,German legislator between 1919 and 1933,"",,,,,,,,
Q103836,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103855,Q17344251,Member of the Landtag of Thuringia,"","",,,,,,,,
Q103855,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q103861,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1038818,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1040086,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1040180,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1040260,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1040700,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1041309,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1041309,Q22338946,Ambassador of Germany to Chile,"",1952,,,1959,,,,,
Q104150,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104177,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104203,Q18220550,Member of the Bavarian Senate,"","",,,,,,,,
Q104203,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104203,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1042184,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1042184,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104329,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104338,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q104338,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104389,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q104389,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104401,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q104401,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104401,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q104422,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1044255,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1044264,Q17344251,Member of the Landtag of Thuringia,"","",,,,,,,,
Q1044264,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1044264,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1044269,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1044269,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104428,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104434,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104518,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104539,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1045567,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1045606,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1045665,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1045675,Q17441472,member of the Bürgerschaft of Bremen,"",1995,,,2009,,,,,
Q1045675,Q1939555,member of the German Bundestag,deputy of the German parliament,2009,,,2015,,,,,
Q1045675,Q314340,list of mayors of Bremen,Wikimedia list article,"",,,,,,,,
Q104581,Q17850767,member of the Reichstag of the Weimar Republic,German legislator between 1919 and 1933,"",,,,,,,,
Q104581,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q104581,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104581,Q641159,Governing Mayor of Berlin,head of government presiding over the Berlin Senate,"",,,,,,,,
Q104678,Q17344251,Member of the Landtag of Thuringia,"",2001,,,2005,,,,,
Q104678,Q17344251,Member of the Landtag of Thuringia,"",2009,,,2015,,,,,
Q104678,Q1939555,member of the German Bundestag,deputy of the German parliament,2005,,,2009,,,,,
Q104678,Q3099723,Minister-President,"political office, head of the executive branch of a sovereign country or federal state",2014-12-05,,,,Thuringia,,,,
Q104678,Q928764,parliamentary group leader,holds an influential political post in a parliamentary system with strong party discipline,2009,,,2014,The Left,,,,
Q104706,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104774,Q1939555,member of the German Bundestag,deputy of the German parliament,1994-11-10,,,1998-10-26,,,,,
Q104774,Q1939555,member of the German Bundestag,deputy of the German parliament,1998-10-26,,,2002-10-17,,,,,
Q104774,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q104774,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q104774,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q1047951,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q1047951,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104886,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104975,Q18130478,Member of the Landtag of Saarland,"","",,,,,,,,
Q104975,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104992,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q104992,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q105021,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105117,Q17441472,member of the Bürgerschaft of Bremen,"","",,,,,,,,
Q105117,Q1939555,member of the German Bundestag,deputy of the German parliament,2002-10-17,,,2005-10-18,,,,,
Q105117,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q105117,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q105117,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q105119,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105121,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105123,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105123,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q105137,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105331,Q18130478,Member of the Landtag of Saarland,"","",,,,,,,,
Q105331,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105335,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105341,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1053460,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105355,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105355,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q105426,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105435,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105461,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105474,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105614,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105620,Q18556824,member of the Landtag of Brandenburg,"","",,,,,,,,
Q105620,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q105620,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105676,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105732,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q105884,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106033,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106049,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q106049,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106174,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106202,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106235,Q1307072,Chief Whip,position,1965,,,1969,FDP,,,,
Q106235,Q1939555,member of the German Bundestag,deputy of the German parliament,1959,,,1998,,,,,
Q106235,Q248352,Bundesminister,cabinet office in the government of Germany,1969-10-22,,,1974-05-16,,,,,
Q106235,Q504272,Vice-Chancellor of Germany,position,1974-05-16,Egon Franke,Jürgen Möllemann,1982-09-17,,,,,
Q106235,Q504272,Vice-Chancellor of Germany,position,1982-10-04,,,1992-05-18,,,,,
Q106235,Q568605,Minister for Foreign Affairs (Federal Republic of Germany),minister in the Federal Republic of Germany,1974-05-16,Helmut Schmidt,Klaus Kinkel,1982-09-17,,,,,
Q106271,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q106271,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106497,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106498,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q106498,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106499,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106499,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1067195,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1067195,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106860,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106938,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106976,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q106976,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q107018,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107018,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q107018,Q248352,Bundesminister,cabinet office in the government of Germany,2014-02-17,Hans-Peter Friedrich,,,,,,,
Q107021,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107046,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107046,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q107050,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107050,Q19901432,Permanent Representative of Germany to the United Nations,"",1955,,,1956,,,,,
Q107071,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,1987-02-18,,,1990-12-20,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,1990-12-20,,,1994-11-10,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,1994-11-10,,,1998-10-26,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,1998-10-26,,,2002-10-17,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,2002-10-17,,,2005-10-18,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q107071,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q107160,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107176,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q107176,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q107176,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,Hamburg Altona,,,
Q107181,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107182,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q107182,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107360,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107376,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q107489,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
