id,name,photo,source,date_of_birth,party,cons,area,term
4528,محمد نبيل عبد الستار الجمل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4528,http://www.parliament.gov.eg/members/,1950-12-27,مستقل,الدقهلية,الدقهلية,2015
4529,السيد حجازى الباز شعبان,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4529,http://www.parliament.gov.eg/members/,1962-12-24,مستقل,الدقهلية,الدقهلية,2015
4530,محمد عقل محمد عقل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4530,http://www.parliament.gov.eg/members/,1958-01-27,مستقل,الدقهلية,الدقهلية,2015
4531,محمد عبد الرازق محمد السيد عوض قرقر,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4531,http://www.parliament.gov.eg/members/,1959-08-22,مستقل,الدقهلية,الدقهلية,2015
4532,احمد ابراهيم محمد العوضى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4532,http://www.parliament.gov.eg/members/,1948-11-13,حماة الوطن,الدقهلية,الدقهلية,2015
4533,بسام منصور اليمانى محمد فليفل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4533,http://www.parliament.gov.eg/members/,1969-08-13,مستقل,الدقهلية,الدقهلية,2015
4534,محمد اسامه حامد ابوالمجد عمر,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4534,http://www.parliament.gov.eg/members/,1957-01-31,حماة الوطن,الدقهلية,الدقهلية,2015
4535,ايهاب احمد حمدى على السلاب,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4535,http://www.parliament.gov.eg/members/,1968-10-01,مستقل,الدقهلية,الدقهلية,2015
4536,فوزى رزق ابراهيم الشرباصى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4536,http://www.parliament.gov.eg/members/,1970-01-05,مستقل,الدقهلية,الدقهلية,2015
4537,على فتحى على السيد عساسة,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4537,http://www.parliament.gov.eg/members/,1969-03-15,المؤتمر,الدقهلية,الدقهلية,2015
4538,اسامة محمد محمد حسن العبد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4538,http://www.parliament.gov.eg/members/,1949-03-04,مستقل,دمياط,دمياط,2015
4539,محمد محمود احمد العتمانى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4539,http://www.parliament.gov.eg/members/,1980-03-20,مستقل,الدقهلية,الدقهلية,2015
4540,غادة موسى ابراهيم صقر,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4540,http://www.parliament.gov.eg/members/,1973-11-03,مستقل,دمياط,دمياط,2015
4541,امال حسن حسن احمد طرابية,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4541,http://www.parliament.gov.eg/members/,1969-10-28,مستقل,الدقهلية,الدقهلية,2015
4542,اسامة احمد محمد متولى راضى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4542,http://www.parliament.gov.eg/members/,1954-11-03,مستقل,الدقهلية,الدقهلية,2015
4544,ابو المعاطى مصطفى ابو المعاطى مصطفى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4544,http://www.parliament.gov.eg/members/,1965-02-24,مستقل,دمياط,دمياط,2015
4545,محمد عبد الرحيم سيد احمد المرشدى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4545,http://www.parliament.gov.eg/members/,1952-09-09,مستقل,الدقهلية,الدقهلية,2015
4546,احمد حسين السعيد الخشب,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4546,http://www.parliament.gov.eg/members/,1952-12-31,مستقل,الدقهلية,الدقهلية,2015
4547,سمير عبد المطلب عبد العزيز موسى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4547,http://www.parliament.gov.eg/members/,1953-05-09,مستقل,دمياط,دمياط,2015
4548,فوزى اسماعيل يوسف فتى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4548,http://www.parliament.gov.eg/members/,1962-12-04,مصر الحديثة,الدقهلية,الدقهلية,2015
4549,عبد الرحمن محمد البكرى ابو الحمايل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4549,http://www.parliament.gov.eg/members/,1980-08-23,النور,دمياط,دمياط,2015
4550,هانى محمد حسن النواصره,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4550,http://www.parliament.gov.eg/members/,1958-10-20,مستقل,كفر الشيخ,كفر الشيخ,2015
4551,شكرى سيد احمد سيد احمد جندى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4551,http://www.parliament.gov.eg/members/,1966-05-30,مستقل,كفر الشيخ,كفر الشيخ,2015
4552,احمد محمد رمضان الطنطاوى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4552,http://www.parliament.gov.eg/members/,1979-07-25,مستقل,كفر الشيخ,كفر الشيخ,2015
4553,محمد اسماعيل حسن اسماعيل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4553,http://www.parliament.gov.eg/members/,1974-10-15,النور,كفر الشيخ,كفر الشيخ,2015
4554,عمر احمد عبدالعليم دوير,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4554,http://www.parliament.gov.eg/members/,1969-12-24,الحركة الوطنية المصرية,كفر الشيخ,كفر الشيخ,2015
4555,محمد عبدالرحمن محمد الشهاوى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4555,http://www.parliament.gov.eg/members/,1956-01-17,مستقل,كفر الشيخ,كفر الشيخ,2015
4556,ابراهيم عبد العزيز محمد اسماعيل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4556,http://www.parliament.gov.eg/members/,1963-08-25,مستقل,كفر الشيخ,كفر الشيخ,2015
4557,فتحى على على الشرقاوى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4557,http://www.parliament.gov.eg/members/,1961-07-09,مستقل,كفر الشيخ,كفر الشيخ,2015
4558,محمد عبدالعليم حسين حسن سلام,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4558,http://www.parliament.gov.eg/members/,1979-01-03,مستقل,كفر الشيخ,كفر الشيخ,2015
4559,ايمن فؤاد عبد الله المهدى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4559,http://www.parliament.gov.eg/members/,1967-11-27,مستقل,كفر الشيخ,كفر الشيخ,2015
4560,جلال جابر فتوح عوارة,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4560,http://www.parliament.gov.eg/members/,1972-11-20,مستقل,الغربية,الغربية,2015
4561,سعيد محمد السيد طعيمه,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4561,http://www.parliament.gov.eg/members/,1957-01-09,المصريين الاحرار,الغربية,الغربية,2015
4562,سمير محمد ابراهيم الخولى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4562,http://www.parliament.gov.eg/members/,1977-06-15,مستقل,الغربية,الغربية,2015
4563,عبد العزيز ابو شعيشع على حمودة,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4563,http://www.parliament.gov.eg/members/,1964-09-15,مستقل,كفر الشيخ,كفر الشيخ,2015
4564,عبد المنعم ابراهيم ابراهيم شهاب,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4564,http://www.parliament.gov.eg/members/,1963-10-17,المصريين الاحرار,الغربية,الغربية,2015
4565,خالد هلالى خير الله سليم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4565,http://www.parliament.gov.eg/members/,1970-03-21,مستقل,كفر الشيخ,كفر الشيخ,2015
4566,على محمدعلى عز,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4566,http://www.parliament.gov.eg/members/,1970-11-10,مستقبل وطن,الغربية,الغربية,2015
4567,صلاح محمود ابراهيم الحصاوى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4567,http://www.parliament.gov.eg/members/,1963-03-27,مستقل,الغربية,الغربية,2015
4568,نبيل محمد رياض ابو باشا,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4568,http://www.parliament.gov.eg/members/,1953-03-01,المصريين الاحرار,الغربية,الغربية,2015
