id,name,area,image,term,source,last_seen
lipskiy-vadim-georgievich,ЛИПСКИЙ Вадим Георгиевич,33,http://vspmr.org/im.xp/049050052051124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/lipskiy-vadim-georgievich/,2016-12-15
martinov-aleksandr-vladimirovich,МАРТЫНОВ Александр Владимирович,24,http://vspmr.org/im.xp/049054053048056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/martinov-aleksandr-vladimirovich/,2016-12-15
matveychuk-valentin-nikolaevich,МАТВЕЙЧУК Валентин Николаевич,23,http://vspmr.org/im.xp/049054052052056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/matveychuk-valentin-nikolaevich/,2016-12-15
mejinskiy-andrey-viktorovich,МЕЖИНСКИЙ Андрей Викторович,42,http://vspmr.org/im.xp/049056049055052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/mejinskiy-andrey-viktorovich/,2016-12-15
moraru-vasiliy-nikolaevich,МОРАРУ Василий Николаевич,28,http://vspmr.org/im.xp/049050052056124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/moraru-vasiliy-nikolaevich/,
namashko-nikolay-petrovich,НАМАШКО Николай Петрович,10,http://vspmr.org/im.xp/049050053050124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/namashko-nikolay-petrovich/,
narubay-aleksey-mihaylovich,НАРУБАЙ Алексей Михайлович,20,http://vspmr.org/im.xp/049050053053124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/narubay-aleksey-mihaylovich/,
ogirchuk-dmitriy-vasiljevich,ОГИРЧУК Дмитрий Васильевич,11,"",5,http://vspmr.org/structure/deputies/ogirchuk-dmitriy-vasiljevich/,
ogirchuk-dmitriy-vasiljevich,ОГИРЧУК Дмитрий Васильевич,11,http://vspmr.org/im.xp/049055051048048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/ogirchuk-dmitriy-vasiljevich/,2016-12-15
onufrienko-anton-nikolaevich,ОНУФРИЕНКО Антон Николаевич,8,http://vspmr.org/im.xp/049055057048052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/onufrienko-anton-nikolaevich/,2016-12-15
pagu-sergey-nikolaevich,ПАГУ Сергей Николаевич,22,http://vspmr.org/im.xp/050057050051124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/pagu-sergey-nikolaevich/,
pasat-petr-semenovich,ПАСАТ Петр Семенович,13,http://vspmr.org/im.xp/049050054052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/pasat-petr-semenovich/,
pasat-petr-semenovich,ПАСАТ Петр Семенович,13,http://vspmr.org/im.xp/049050054052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/pasat-petr-semenovich/,2016-12-15
pasyutin-vladimir-evgenjevich,ПАСЮТИН Владимир Евгеньевич,3,http://vspmr.org/im.xp/049050054055124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/pasyutin-vladimir-evgenjevich/,
pelin-vladimir-dmitrievich,ПЕЛИН Владимир Дмитриевич,10,http://vspmr.org/im.xp/049054052050053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/pelin-vladimir-dmitrievich/,2016-12-15
petrik-oleg-anatoljevich,ПЕТРИК Олег Анатольевич,3,http://vspmr.org/im.xp/049054051057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/petrik-oleg-anatoljevich/,2016-12-15
pisarenko-sergey-andreevich,ПИСАРЕНКО Сергей Андреевич,23,http://vspmr.org/im.xp/049050055048124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/pisarenko-sergey-andreevich/,
pisarenko-sergey-andreevich,ПИСАРЕНКО Сергей Андреевич,6,http://vspmr.org/im.xp/049054052050052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/pisarenko-sergey-andreevich/,2016-12-15
ponomarenko-valeriy-evgenjevich,ПОНОМАРЕНКО Валерий Евгеньевич,24,http://vspmr.org/im.xp/049050055051124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/ponomarenko-valeriy-evgenjevich/,
safonov-andrey-mihaylovich,САФОНОВ Андрей Михайлович,20,http://vspmr.org/im.xp/049054050054048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/safonov-andrey-mihaylovich/,2016-12-15
scherba-aleksandr-sergeevich,ЩЕРБА Александр Сергеевич,29,http://vspmr.org/im.xp/049054050056052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/scherba-aleksandr-sergeevich/,2016-12-15
semenov-sergey-nikolaevich,СЕМЕНОВ Сергей Николаевич,8,http://vspmr.org/im.xp/049052051056124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/semenov-sergey-nikolaevich/,
shinkaryuk-pavel-viktorovich,ШИНКАРЮК Павел Викторович,28,http://vspmr.org/im.xp/049054051053054124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/shinkaryuk-pavel-viktorovich/,2016-12-15
shkiljnyuk-porfiriy-vladimirovich,ШКИЛЬНЮК Порфирий Владимирович,16,http://vspmr.org/im.xp/049054052048052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/shkiljnyuk-porfiriy-vladimirovich/,2016-12-15
sipchenko-andrey-viktorovich,СИПЧЕНКО Андрей Викторович,14,http://vspmr.org/im.xp/049050055054124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/sipchenko-andrey-viktorovich/,
sipchenko-andrey-viktorovich,СИПЧЕНКО Андрей Викторович,14,http://vspmr.org/im.xp/049050055054124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/sipchenko-andrey-viktorovich/,2016-12-15
soin-dmitriy-yurjevich,СОИН Дмитрий Юрьевич,38,http://vspmr.org/im.xp/049050055056124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/soin-dmitriy-yurjevich/,
