id,name
area/na-214_(shaheed_benazir_abad_(old_nawabshah-ii)),NA-214 (SHAHEED BENAZIR ABAD (OLD NAWABSHAH-II))
area/na-215_(khairpur-i),NA-215 (Khairpur-I)
area/na-216_(khairpur-ii),NA-216 (Khairpur-II)
area/na-217_(khairpur-iii),NA-217 (Khairpur-III)
area/na-218_(matiari-cum-hyderabad_(old_hyderabad-i)),NA-218 (MATIARI-CUM-HYDERABAD (OLD HYDERABAD-I))
area/na-219_(hyderabad-ii),NA-219 (Hyderabad-II)
area/na-21_(mansehra-cum-tor_ghar_(old_mansehra-ii)),NA-21 (Mansehra-cum-Tor Ghar (Old Mansehra-II))
area/na-220_(hyderabad-iii),NA-220 (Hyderabad-III)
area/na-221_(hyderabad-iv),NA-221 (Hyderabad-IV)
area/na-222_(tando_muhammad_khan-cum-hyderabad-cum-badin_(hyderabad-v)),NA-222 (TANDO MUHAMMAD KHAN-CUM-HYDERABAD-CUM-BADIN (HYDERABAD-V))
area/na-223_(hyderabad-vi),NA-223 (Hyderabad-VI)
area/na-224_(badin-cum-tando_muhammad_khan-i_(old_badin-i)),NA-224 (BADIN-CUM-TANDO MUHAMMAD KHAN-I (OLD BADIN-I))
area/na-225_(badin-cum-tando_muhammad_khan-ii_(old_badin-ii)),NA-225 (BADIN-CUM-TANDO MUHAMMAD KHAN-II (OLD BADIN-II))
area/na-226_(mirpur_khas-cum-umerkot_(i)_(old_mirpurkhas-i)),NA-226 (MIRPUR KHAS-CUM-UMERKOT (I) (OLD MIRPURKHAS-I))
area/na-227_(mirpurkhas-cum-umerkot_(ii)_(old_mirpurkhas-ii)),NA-227 (MIRPURKHAS-CUM-UMERKOT (II) (OLD MIRPURKHAS-II))
area/na-228_(umerkot_(old_mirpurkhas-iii)),NA-228 (UMERKOT (OLD MIRPURKHAS-III))
area/na-229_(tharparkar-i),NA-229 (Tharparkar-I)
area/na-22_(battagram),NA-22 (Battagram)
area/na-230_(tharparkar-ii),NA-230 (Tharparkar-II)
area/na-231_(jamshoro_(old_dadu-i)),NA-231 (JAMSHORO (OLD DADU-I))
area/na-232_(dadu-i_(old_dadu-ii)),NA-232 (DADU-I (OLD DADU-II))
area/na-233_(dadu-ii_(old_dadu-iii)),NA-233 (DADU-II (OLD DADU-III))
area/na-234_(sanghar-i),NA-234 (Sanghar-I)
area/na-235_(sanghar-cum-mirpurkhas-cum-umerkot_(old_sanghar-ii)),NA-235 (SANGHAR-CUM-MIRPURKHAS-CUM-UMERKOT (OLD SANGHAR-II))
area/na-236_(sanghar-ii_(old_snaghar-iii)),NA-236 (SANGHAR-II (OLD SNAGHAR-III))
area/na-237_(thatta-i),NA-237 (Thatta-I)
area/na-238_(thatta-ii),NA-238 (Thatta-II)
area/na-239_(karachi-i),NA-239 (Karachi-I)
area/na-23_(kohistan_),NA-23 (Kohistan )
area/na-240_(karachi-ii),NA-240 (Karachi-II)
area/na-241_(karachi-iii),NA-241 (Karachi-III)
area/na-242_(karachi-iv),NA-242 (Karachi-IV)
area/na-243_(karachi-v),NA-243 (Karachi-V)
area/na-244_(karachi-vi),NA-244 (Karachi-VI)
area/na-245_(karachi-vii),NA-245 (Karachi-VII)
area/na-246_(karachi-viii),NA-246 (Karachi-VIII)
area/na-247_(karachi-ix),NA-247 (Karachi-IX)
area/na-248_(karachi-x),NA-248 (Karachi-X)
area/na-249_(karachi-xi),NA-249 (Karachi-XI)
area/na-24_(d.i.khan_),NA-24 (D.I.Khan )
area/na-250_(karachi-xii),NA-250 (Karachi-XII)
area/na-251_(karachi-xiii),NA-251 (Karachi-XIII)
area/na-252_(karachi-xiv),NA-252 (Karachi-XIV)
area/na-253_(karachi-xv),NA-253 (Karachi-XV)
area/na-254_(karachi-xvi),NA-254 (Karachi-XVI)
area/na-255_(karachi-xvii),NA-255 (Karachi-XVII)
area/na-256_(karachi-xviii),NA-256 (Karachi-XVIII)
area/na-257_(karachi-xix),NA-257 (Karachi-XIX)
area/na-258_(karachi-xx),NA-258 (Karachi-XX)
area/na-259_(quetta),NA-259 (Quetta)
area/na-25_(d.i.khan-cum-tank),NA-25 (D.I.Khan-cum-Tank)
area/na-260_(quetta-cum-changai-cum-nushki_(old_quetta-cum-chagai-cum-mustang)),NA-260 (QUETTA-CUM-CHANGAI-CUM-NUSHKI (OLD QUETTA-CUM-CHAGAI-CUM-MUSTANG))
area/na-261_(pishin-cum-ziarat),NA-261 (Pishin-cum-Ziarat)
area/na-262_(killa_abdullah),NA-262 (Killa Abdullah)
area/na-263_(loralai),NA-263 (Loralai)
area/na-264_(zhob-cum-killa-sherani_saifullah),NA-264 (Zhob-cum-Killa-Sherani Saifullah)
area/na-265_(sibi-cum-kolhu-cum-dera_bugti),NA-265 (Sibi-cum-Kolhu-cum-Dera Bugti)
area/na-266_(nasirabad),NA-266 (Nasirabad)
area/na-267_(kachhi),NA-267 (Kachhi)
area/na-268_(kalat-cum-mastung_haidri),NA-268 (Kalat-cum-Mastung Haidri)
area/na-269_(khuzdar),NA-269 (Khuzdar)
area/na-26_(bannu),NA-26 (Bannu)
area/na-270_(awaran-cum-lasbella),NA-270 (Awaran-cum-Lasbella)
area/na-271_(kharan-cum-panjgur),NA-271 (Kharan-cum-Panjgur)
area/na-272_(kech-cum-gwadar),NA-272 (Kech-cum-Gwadar)
area/na-27_(lakki_marwat),NA-27 (Lakki Marwat)
area/na-28_(bunair_),NA-28 (Bunair )
area/na-29_(swat-i),NA-29 (Swat-I)
area/na-2_(peshawar-ii),NA-2 (Peshawar-II)
area/na-30_(swat-ii),NA-30 (Swat-II)
area/na-31_(shanglapar),NA-31 (Shanglapar)
area/na-32_(chitral),NA-32 (Chitral)
area/na-33_(upper_dir-cum-lower_dir_(old_upper_dir)),NA-33 (Upper Dir-cum-Lower Dir (old Upper Dir))
area/na-34_(lower_dir),NA-34 (Lower Dir)
area/na-35_(malakand_protected_area),NA-35 (MALAKAND PROTECTED AREA)
area/na-36_(tribal_area-i),NA-36 (Tribal Area-I)
area/na-37_(tribal_area-ii),NA-37 (Tribal Area-II)
area/na-39_(tribal_area-iv),NA-39 (Tribal Area-IV)
area/na-3_(peshawar-iii),NA-3 (Peshawar-III)
area/na-40_(tribal_area-v),NA-40 (Tribal Area-V)
area/na-41_(tribal_area-vi),NA-41 (Tribal Area-VI)
area/na-42_(tribal_area-vii),NA-42 (Tribal Area-VII)
area/na-43_(tribal_area-viii),NA-43 (Tribal Area-VIII)
area/na-44_(tribal_area-ix),NA-44 (Tribal Area-IX)
area/na-45_(tribal_area-x),NA-45 (Tribal Area-X)
area/na-46_(tribal_area-xi),NA-46 (Tribal Area-XI)
area/na-47_(tribal_area-xii),NA-47 (Tribal Area-XII)
area/na-48_(islamabad-i),NA-48 (Islamabad-I)
area/na-49_(islamabad-ii),NA-49 (Islamabad-II)
area/na-4_(peshawar-iv),NA-4 (Peshawar-IV)
area/na-50_(rawalpindi-i),NA-50 (Rawalpindi-I)
area/na-51_(rawalpindi-ii),NA-51 (Rawalpindi-II)
area/na-52_(rawalpindi-iii),NA-52 (Rawalpindi-III)
area/na-53_(rawalpindi-iv),NA-53 (Rawalpindi-IV)
area/na-54_(rawalpindi-v),NA-54 (Rawalpindi-V)
area/na-55_(rawalpindi-vi),NA-55 (Rawalpindi-VI)
area/na-56_(rawalpindi-vii),NA-56 (Rawalpindi-VII)
area/na-57_(attock-i),NA-57 (Attock-I)
area/na-58_(attock-ii),NA-58 (Attock-II)
area/na-59_(attock-iii),NA-59 (Attock-III)
area/na-5_(nowshera-i),NA-5 (Nowshera-I)
area/na-60_(chakwal-i),NA-60 (Chakwal-I)
area/na-61_(chakwal-ii),NA-61 (Chakwal-II)
area/na-62_(jhelum-i),NA-62 (Jhelum-I)
area/na-63_(jhelum-ii),NA-63 (Jhelum-II)
area/na-64_(sargodha-i),NA-64 (Sargodha-I)
area/na-65_(sargodha-ii),NA-65 (Sargodha-II)
area/na-66_(sargodha-iii),NA-66 (Sargodha-III)
area/na-67_(sargodha-iv),NA-67 (Sargodha-IV)
area/na-68_(sargodha-v),NA-68 (Sargodha-V)
area/na-69_(khushab-i),NA-69 (Khushab-I)
area/na-6_(nowshera-ii),NA-6 (Nowshera-II)
area/na-70_(khushab-ii),NA-70 (Khushab-II)
area/na-71_(mianwali-i),NA-71 (Mianwali-I)
area/na-72_(mianwali-ii),NA-72 (Mianwali-II)
area/na-73_(bhakkar-i),NA-73 (Bhakkar-I)
area/na-74_(bhakkar-ii),NA-74 (Bhakkar-II)
area/na-75_(faisalabad-i),NA-75 (Faisalabad-I)
area/na-76_(faisalabad-ii),NA-76 (Faisalabad-II)
area/na-77_(faisalabad-iii),NA-77 (Faisalabad-III)
area/na-78_(faisalabad-iv),NA-78 (Faisalabad-IV)
area/na-79_(faisalabad-v),NA-79 (Faisalabad-V)
area/na-7_(charsadda-i),NA-7 (Charsadda-I)
area/na-80_(faisalabad-vi),NA-80 (Faisalabad-VI)
area/na-81_(faisalabad-vii),NA-81 (Faisalabad-VII)
area/na-82_(faisalabad-viii),NA-82 (Faisalabad-VIII)
area/na-83_(faisalabad-ix),NA-83 (Faisalabad-IX)
area/na-84_(faisalabad-x),NA-84 (Faisalabad-X)
area/na-85_(faisalabad-xi),NA-85 (Faisalabad-XI)
area/na-86_(chiniot-i_(old_na-86_jhang-i)),NA-86 (CHINIOT-I (Old NA-86 Jhang-I))
area/na-87_(chiniot-ii_cum-jhang_(old_na-88_jhang-iii)),NA-87 (CHINIOT-II Cum-Jhang (Old NA-88 Jhang-III))
area/na-88_(jhang-cum-chiniot_(old_na-87_jhang-ii)),NA-88 (JHANG-Cum-Chiniot (Old NA-87 Jhang-II))
area/na-89_(jhang-i_(old_na-89_jhang-iv)),NA-89 (JHANG-I (Old NA-89 Jhang-IV))
area/na-8_(charsadda-ii),NA-8 (Charsadda-II)
area/na-90_(jhang-ii_(old_na-90_jhang-v)),NA-90 (JHANG-II (Old NA-90 Jhang-V))
area/na-91_(jhang-iii_(old_na-91_jhang-vi)),NA-91 (JHANG-III (Old NA-91 Jhang-VI))
area/na-92_(t.t.singh-i),NA-92 (T.T.Singh-I)
area/na-93_(t.t.singh-ii),NA-93 (T.T.Singh-II)
area/na-94_(t.t.singh-iii),NA-94 (T.T.Singh-III)
area/na-95_(gujranwala-i),NA-95 (Gujranwala-I)
area/na-96_(gujranwala-ii),NA-96 (Gujranwala-II)
area/na-97_(gujranwala-iii),NA-97 (Gujranwala-III)
area/na-98_(gujranwala-iv),NA-98 (Gujranwala-IV)
area/na-99_(gujranwala-v),NA-99 (Gujranwala-V)
area/na-9_(mardan-i),NA-9 (Mardan-I)
