id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q47529768,Cynthia Nocollege Majeke,2014-05-21,"",Eastern Cape,Q130840,United Democratic Movement,Q1788070,26
Q47529769,Dudu Hellen Mathebe,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529770,Jan Adriaan Esterhuizen,2014-05-21,"",,,Inkatha Freedom Party,Q654444,26
Q47529772,Erik Johannes Marais,2014-05-21,"",Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529773,Martha Phindile Mmola,2014-05-21,"",,,African National Congress,Q83162,26
Q47529776,Claudia Nonhlanhla Ndaba,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529777,Nokhaya Adelaide Mnisi,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529778,Charles Danny Kekana,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529781,Steven Nicholas Swart,2014-05-21,"",,,African Christian Democratic Party,Q268613,26
Q47529783,Rosemary Nokuzola Capa,2014-05-21,"",,,African National Congress,Q83162,26
Q47529784,Grace Kekulu Tseke,2014-05-21,"",,,African National Congress,Q83162,26
Q47529787,Zondi Silence Makhubele,2014-05-21,"",,,African National Congress,Q83162,26
Q47529789,Sibusiso Christopher Mncwabe,2014-05-21,"",,,National Freedom Party,Q6972795,26
Q47529790,Godrich Ahmed Gardee,2014-05-21,"",,,Economic Freedom Fighters,Q15613585,26
Q47529792,John Henry Steenhuisen,2014-05-21,"",KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q47529793,Mogamad Nazier Paulsen,2014-05-21,"",Western Cape,Q127167,Economic Freedom Fighters,Q15613585,26
Q47529796,Gerhardus Willem Koornhof,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529798,Tandeka Gqada,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529799,Hlomela Bucwa,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529800,Nicolaas Jacobus Janse Van Rensburg Koornhof,2014-05-21,"",,,African National Congress,Q83162,26
Q47529803,Bongani Michael Mkongi,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529804,Mapule Veronica Mafolo,2014-05-21,"",North West,Q165956,African National Congress,Q83162,26
Q47529805,Benedict Anthony Duke Martins,2014-05-21,"",,,African National Congress,Q83162,26
Q47529807,Gregory Rudy Krumbock,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529808,Darren Bergman,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529809,Timothy James Brauteseth,2014-05-21,"",KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q47529811,Fezeka Sister Loliwe,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529812,Hildegard Sonja Boshoff,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529813,Archibold Mzuvukile Figlan,2014-05-21,"",Western Cape,Q127167,Democratic Alliance,Q761877,26
