id,name,sort_name,given_name,family_name,name__ar,party,party_id,party__ar,constituency,province,start_date,end_date,gender,name__en,term
301,Addi Khzou,Khzou Addi,Addi,Khzou,عدي خزو,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TINGHIR,TINGHIR,2016-10-07,,,Addi Khzou,10
302,Mustapha Baytas,Baytas Mustapha,Mustapha,Baytas,مصطفى بايتاس,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,,Mustapha Baytas,10
303,Kamal El Omari,El Omari Kamal,Kamal,El Omari,كمال العمري,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,,Kamal El Omari,10
304,Khaled Chennaq,Chennaq Khaled,Khaled,Chennaq,خالد الشناق,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,,Khaled Chennaq,10
305,Naoual Moutawakkil,Moutawakkil Naoual,Naoual,Moutawakkil,نوال المتوكل,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,female,Naoual Moutawakkil,10
306,Souria Ahl Hmad,Ahl Hmad Souria,Souria,Ahl Hmad,سورية أهل حماد,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,female,Souria Ahl Hmad,10
307,Soumia Ouaallal,Ouaallal Soumia,Soumia,Ouaallal,سمية وعلال,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,female,Soumia Ouaallal,10
308,Naima Zidane,Zidane Naima,Naima,Zidane,نعيمة زيدان,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,female,Naima Zidane,10
309,Asmaa Ghlalou,Ghlalou Asmaa,Asmaa,Ghlalou,أسماء غلالو,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,female,Asmaa Ghlalou,10
31,Driss Meskine,Meskine Driss,Driss,Meskine,إدريس مسكين,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,SEFROU,SEFROU,2016-10-07,,,Driss Meskine,10
310,Ouafaa Elbekkali,Elbekkali Ouafaa,Ouafaa,Elbekkali,وفاء البقالي,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,National,Liste Nationale,2016-10-07,,female,Ouafaa Elbekkali,10
311,Mohamed Elamine Didi,Didi Mohamed Elamine,Mohamed Elamine,Didi,محمد الأمين ديدي,Mouvement Populaire,MP,حزب الحركة الشعبية,DAKHLA,DAKHLA,2016-10-07,,,Mohamed Elamine Didi,10
312,Mohamed Fadili,Fadili Mohamed,Mohamed,Fadili,محمد فضلي,Mouvement Populaire,MP,حزب الحركة الشعبية,DRIOUCH,DRIOUCH,2016-10-07,,,Mohamed Fadili,10
313,Said Rahmouni,Rahmouni Said,Said,Rahmouni,سعيد الرحموني,Mouvement Populaire,MP,حزب الحركة الشعبية,NADOR,NADOR,2016-10-07,,,Said Rahmouni,10
314,Said Tadlaoui,Tadlaoui Said,Said,Tadlaoui,سعيد التدلاوي,Mouvement Populaire,MP,حزب الحركة الشعبية,MOHAMMADIA,MOHAMMADIA,2016-10-07,,,Said Tadlaoui,10
315,El Mustapha Mkhanter,Mkhanter El Mustapha,El Mustapha,Mkhanter,المصطفى المخنتر,Mouvement Populaire,MP,حزب الحركة الشعبية,EL JADIDA,EL JADIDA,2016-10-07,,,El Mustapha Mkhanter,10
316,Mohamed Lahmouch,Lahmouch Mohamed,Mohamed,Lahmouch,محمد لحموش,Mouvement Populaire,MP,حزب الحركة الشعبية,KHEMISSET - OULMES,KHEMISSET,2016-10-07,,,Mohamed Lahmouch,10
317,Mohamed Laaraj,Laaraj Mohamed,Mohamed,Laaraj,محمد الأعرج,Mouvement Populaire,MP,حزب الحركة الشعبية,ALHOUCEIMA,ALHOUCEIMA,2016-10-07,,,Mohamed Laaraj,10
318,Abderahmane Omari,Omari Abderahmane,Abderahmane,Omari,عبد الرحمان العمري,Mouvement Populaire,MP,حزب الحركة الشعبية,CHEFCHAOUEN,CHEFCHAOUEN,2016-10-07,,,Abderahmane Omari,10
319,Mohamed Simo,Simo Mohamed,Mohamed,Simo,محمد السيمو,Mouvement Populaire,MP,حزب الحركة الشعبية,LARACHE,LARACHE,2016-10-07,,,Mohamed Simo,10
32,Khalid El Boukarai,El Boukarai Khalid,Khalid,El Boukarai,خالد البوقرعي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,EL HAJEB,EL HAJEB,2016-10-07,,,Khalid El Boukarai,10
320,Adil Sbai,Sbai Adil,Adil,Sbai,عادل السباعي,Mouvement Populaire,MP,حزب الحركة الشعبية,SAFI,SAFI,2016-10-07,,,Adil Sbai,10
321,Rachid Bendriouch,Bendriouch Rachid,Rachid,Bendriouch,الرشيد بن الدريوش,Mouvement Populaire,MP,حزب الحركة الشعبية,GUELIZ - ANNAKHIL,MARRAKECH,2016-10-07,,,Rachid Bendriouch,10
322,Abdelkader Lebriki,Lebriki Abdelkader,Abdelkader,Lebriki,عبد القادر لبريكي,Mouvement Populaire,MP,حزب الحركة الشعبية,MEKNES,MEKNES,2016-10-07,,,Abdelkader Lebriki,10
323,Mohamed Ouzzine,Ouzzine Mohamed,Mohamed,Ouzzine,محمد أوزين,Mouvement Populaire,MP,حزب الحركة الشعبية,IFRANE,IFRANE,2016-10-07,,,Mohamed Ouzzine,10
324,Lahcen Sekkouri,Sekkouri Lahcen,Lahcen,Sekkouri,لحسن السكوري,Mouvement Populaire,MP,حزب الحركة الشعبية,SEFROU,SEFROU,2016-10-07,,,Lahcen Sekkouri,10
325,Hassan Lanser,Lanser Hassan,Hassan,Lanser,حسن العنصر,Mouvement Populaire,MP,حزب الحركة الشعبية,BOULEMANE,BOULEMANE,2016-10-07,,,Hassan Lanser,10
326,Abdelaziz Kouskous,Kouskous Abdelaziz,Abdelaziz,Kouskous,عبد العزيز كوسكوس,Mouvement Populaire,MP,حزب الحركة الشعبية,TAZA,TAZA,2016-10-07,,,Abdelaziz Kouskous,10
327,Essaid Ameskane,Ameskane Essaid,Essaid,Ameskane,السعيد أمسكان,Mouvement Populaire,MP,حزب الحركة الشعبية,OUARZAZATE,OUARZAZATE,2016-10-07,,,Essaid Ameskane,10
328,Hamid Ibrahimi,Ibrahimi Hamid,Hamid,Ibrahimi,حميد ابراهيمي,Mouvement Populaire,MP,حزب الحركة الشعبية,BENI - MELLAL,BENI - MELLAL,2016-10-07,,,Hamid Ibrahimi,10
329,Lahcen Ait Ichou,Ait Ichou Lahcen,Lahcen,Ait Ichou,لحسن آيت يشو,Mouvement Populaire,MP,حزب الحركة الشعبية,KHENIFRA,KHENIFRA,2016-10-07,,,Lahcen Ait Ichou,10
