id,position,label,description,start_date,end_date,constituency,term,election,replaces,replaced_by
Q6720732,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,,,,,,
Q698557,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2016-09-30,New Territories East,,,,
Q701670,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-07-01,2010-01-28,New Territories West,,,,
Q701670,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2016-09-30,New Territories West,,,,
Q701707,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,2010-01-28,Kowloon West,,"Hong Kong Legislative Council election, 2008",,
Q701707,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2016-09-30,Kowloon West,,"Hong Kong by-election, 2010",,
Q704032,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q712854,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2004-10-01,2010-01-28,New Territories East,,"Hong Kong Legislative Council election, 2004",,
Q712854,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2017-07-14,New Territories East,,"Hong Kong by-election, 2010",,
Q7227847,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,New Territories West,6th Legislative Council of Hong Kong,"Hong Kong Legislative Council election, 2016",,
Q7237065,Q53913929,Central and Western District councilor,"",2016-01-01,,"District Councils Constituency in Sai Wan, Central and Western District",5th Councilor in Central and Western District,"Hong Kong District Council election, 2015",,
Q7245609,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,Kowloon West,,,,
Q7680491,Q10891456,member of the National People's Congress,"","",,Hong Kong,13th National People's Congress,,,
Q7680491,Q13416334,member of the Provisional Legislative Council,"",1996-12-21,1998-06-30,,,,,
Q7680491,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2016-09-30,New Territories West,,,,
Q7680491,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q7819303,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-10-01,,Catering,,,,
Q7930030,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2004-10-01,2008-09-30,Medical,,,,
Q7930030,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,New Territories West,,,,
Q8032000,Q53914229,Eastern District councilor,"",2016-01-01,,"District Councils Constituency in Siu Sai Wan, Eastern District",5th Councilor in Eastern District,"Hong Kong District Council election, 2015",,
Q8032004,Q10891456,member of the National People's Congress,"","",,Hong Kong,11th National People's Congress,,,
Q8032004,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,Kowloon East,,,,
Q80332,Q10891456,member of the National People's Congress,"","",,Hong Kong,13th National People's Congress,,,
Q80332,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,New Territories West,,,,
Q80332,Q53914050,Tsuen Wan District councilor,"",2016-01-01,,"District Councils Constituency in Discovery Park, Tsuen Wan District",5th Councilor in Tsuen Wan District,"Hong Kong District Council election, 2015",,
Q8038881,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,Kowloon East,,,,
Q8038881,Q53913812,Wong Tai Sin District councilor,"",2016-01-01,,"District Councils Constituency in King Fu, Wong Tai Sin District",5th Councilor in Wong Tai Sin District,"Hong Kong District Council election, 2015",,
Q9112403,Q53914891,North District councilor,"",2016-01-01,,"District Councils Constituency in Yan Shing, North District",5th Councilor in North District,"Hong Kong District Council election, 2015",,
