id,position,label,description,start_date,constituency,of,end_date,replaces,replaced_by
Q15854049,Q17535155,"member of the National Council of Austria","","",,,,,
Q15855015,Q17535155,"member of the National Council of Austria","","",,,,,
Q1586741,Q17535155,"member of the National Council of Austria","","",,,,,
Q1611160,Q17535155,"member of the National Council of Austria","","",,,,,
Q1611996,Q17535155,"member of the National Council of Austria","","",,,,,
Q1612678,Q17535155,"member of the National Council of Austria","","",,,,,
Q1618939,Q17535155,"member of the National Council of Austria","",2013-10-29,,,"",,
Q1618939,Q25273208,"Austrian Students' Association chairperson","",2009,,,2011,,
Q1622583,Q17535155,"member of the National Council of Austria","","",,,,,
Q1626211,Q17535155,"member of the National Council of Austria","","",,,,,
Q1626211,Q25608222,"member of the Styrian state parliament","legislator in the Landtag of the Austrian state of Styria","",,,,,
Q1670731,Q17535155,"member of the National Council of Austria","","",,,,,
Q1678897,Q17535155,"member of the National Council of Austria","","",,,,,
Q1679312,Q1343573,"Member of state parliament","representative of the voters to a state or provincial parliament",2001-04-30,,Vienna,2013-10-28,,
Q1679312,Q17535155,"member of the National Council of Austria","",2013-10-29,,,,,
Q1679312,Q23711521,"Member of the regional parliament of Vienna","","",,,,,
