name,gender,faction,image,area,term,source,id,name__jp,name__jp_hiragana,faction__jp,area__jp,name__ja,name__ja_hira
FUJIMARU Satoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/372.jpg/%24File/372.jpg,Fukuoka 7th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/372.html,,,,自民,福岡7,藤丸 敏君,ふじまる さとし
FUJINO Yasufumi,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/371.jpg/%24File/371.jpg,Hokuriku-Shinetsu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/371.html,,,,共産,（比）北陸信越,藤野 保史君,ふじの やすふみ
FUJIWARA Takashi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/373.jpg/%24File/373.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/373.html,,,,自民,（比）東北,藤原 崇君,ふじわら たかし
FUKUDA Akio,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/367.jpg/%24File/367.jpg,Tochigi 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/367.html,,,,民進,栃木2,福田 昭夫君,ふくだ あきお
FUKUDA Mineyuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/364.jpg/%24File/364.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/364.html,,,,自民,（比）南関東,ふくだ 峰之君,ふくだ みねゆき
FUKUDA Tatsuo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/368.jpg/%24File/368.jpg,Gumma 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/368.html,,,,自民,群馬4,福田 達夫君,ふくだ たつお
FUKUI Teru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/365.jpg/%24File/365.jpg,Shikoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/365.html,,,,自民,（比）四国,福井 照君,ふくい てる
FUKUSHIMA Nobuyuki,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/366.jpg/%24File/366.jpg,Kita Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/366.html,,,,民進,（比）北関東,福島 伸享君,ふくしま のぶゆき
FUKUYAMA Mamoru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/369.jpg/%24File/369.jpg,Shikoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/369.html,,,,自民,（比）四国,福山 守君,ふくやま まもる
FUNADA Hajime,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/374.jpg/%24File/374.jpg,Tochigi 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/374.html,,,,自民,栃木1,船田 元君,ふなだ はじめ
FURUKAWA Motohisa,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/375.jpg/%24File/375.jpg,Aichi 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/375.html,,,,民進,愛知2,古川 元久君,ふるかわ もとひさ
FURUKAWA Yasushi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/376.jpg/%24File/376.jpg,Saga 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/376.html,,,,自民,佐賀2,古川 康君,ふるかわ やすし
FURUKAWA Yoshihisa,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/377.jpg/%24File/377.jpg,Miyazaki 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/377.html,,,,自民,宮崎3,古川 禎久君,ふるかわ よしひさ
FURUMOTO Shinichiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/379.jpg/%24File/379.jpg,Aichi 11th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/379.html,,,,民進,愛知11,古本 伸一郎君,ふるもと しんいちろう
FURUTA Keiichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/378.jpg/%24File/378.jpg,Chugoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/378.html,,,,自民,（比）中国,古田 圭一君,ふるた けいいち
FURUYA Keiji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/380.jpg/%24File/380.jpg,Gifu 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/380.html,,,,自民,岐阜5,古屋 圭司君,ふるや けいじ
FURUYA Noriko,female,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/381.jpg/%24File/381.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/381.html,,,,公明,（比）南関東,古屋 範子君,ふるや のりこ
GEMBA Koichiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/172.jpg/%24File/172.jpg,Fukushima 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/172.html,,,,民進,福島3,玄葉 光一郎君,げんば こういちろう
GOTO Shigeyuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/183.jpg/%24File/183.jpg,Nagano 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/183.html,,,,自民,長野4,後藤 茂之君,ごとう しげゆき
GOTO Yuichi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/184.jpg/%24File/184.jpg,Kanagawa 16th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/184.html,,,,民進,神奈川16,後藤 祐一君,ごとう ゆういち
GOTODA Masazumi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/185.jpg/%24File/185.jpg,Tokushima 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/185.html,,,,自民,徳島1,後藤田 正純君,ごとうだ まさずみ
HAGIUDA Koichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/341.jpg/%24File/341.jpg,Tokyo 24th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/341.html,,,,自民,東京24,萩生田 光一君,はぎうだ こういち
HAMACHI Masakazu,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/350.jpg/%24File/350.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/350.html,,,,公明,（比）九州,浜地 雅一君,はまち まさかず
HAMADA Yasukazu,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/349.jpg/%24File/349.jpg,Chiba 12th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/349.html,,,,自民,千葉12,浜田 靖一君,はまだ やすかず
HAMAMURA Susumu,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/351.jpg/%24File/351.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/351.html,,,,公明,（比）近畿,濱村 進君,はまむら すすむ
HANASHI Yasuhiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/339.jpg/%24File/339.jpg,Ibaraki 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/339.html,,,,自民,茨城3,葉梨 康弘君,はなし やすひろ
HARADA Kenji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/354.jpg/%24File/354.jpg,Osaka 9th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/354.html,,,,自民,大阪9,原田 憲治君,はらだ けんじ
HARADA Yoshiaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/355.jpg/%24File/355.jpg,Fukuoka 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/355.html,,,,自民,福岡5,原田 義昭君,はらだ よしあき
HARAGUCHI Kazuhiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/353.jpg/%24File/353.jpg,Saga 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/353.html,,,,民進,佐賀1,原口 一博君,はらぐち かずひろ
HASE Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/344.jpg/%24File/344.jpg,Ishikawa 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/344.html,,,,自民,石川1,馳 浩君,はせ ひろし
HASHIMOTO Gaku,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/342.jpg/%24File/342.jpg,Okayama 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/342.html,,,,自民,岡山4,橋本 岳君,はしもと がく
HASHIMOTO Hidenori,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/343.jpg/%24File/343.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/343.html,,,,自民,（比）東北,橋本 英教君,はしもと ひでのり
HATANO Kimie,female,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/345.jpg/%24File/345.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/345.html,,,,共産,（比）南関東,畑野 君枝君,はたの きみえ
HATAYAMA Kazuya,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/346.jpg/%24File/346.jpg,Hokkaido Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/346.html,,,,共産,（比）北海道,畠山 和也君,はたやま かずや
HATOYAMA Jiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/506.jpg/%24File/506.jpg,Fukuoka 6th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/506.html,,,,自民,福岡6,鳩山 二郎君,はとやま じろう
HATSUSHIKA Akihiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/347.jpg/%24File/347.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/347.html,,,,民進,（比）東京都,初鹿 明博君,はつしか あきひろ
HAYASHI Motoo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/352.jpg/%24File/352.jpg,Chiba 10th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/352.html,,,,自民,千葉10,林 幹雄君,はやし もとお
HIGA Natsumi,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/357.jpg/%24File/357.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/357.html,,,,自民,（比）九州,比嘉 奈津美君,ひが なつみ
HIGUCHI Naoya,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/358.jpg/%24File/358.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/358.html,,,,公明,（比）近畿,樋口 尚也君,ひぐち なおや
HIRAGUCHI Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/360.jpg/%24File/360.jpg,Hiroshima 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/360.html,,,,自民,広島2,平口 洋君,ひらぐち ひろし
HIRAI Takuya,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/359.jpg/%24File/359.jpg,Kagawa 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/359.html,,,,自民,香川1,平井 たくや君,ひらい たくや
HIRANO Hirofumi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/363.jpg/%24File/363.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/363.html,,,,民進,（比）近畿,平野 博文君,ひらの ひろふみ
