name,gender,faction,image,area,term,source,id,name__jp,name__jp_hiragana,faction__jp,area__jp,name__ja,name__ja_hira
IKEUCHI Saori,female,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/042.jpg/%24File/042.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/042.html,,,,共産,（比）東京都,池内 さおり君,いけうち さおり
IMAEDA Soichiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/058.jpg/%24File/058.jpg,Aichi 14th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/058.html,,,,自民,愛知14,今枝 宗一郎君,いまえだ そういちろう
IMAI Masato,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/057.jpg/%24File/057.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/057.html,,,,民進,（比）東海,今井 雅人君,いまい まさと
IMAMURA Masahiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/060.jpg/%24File/060.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/060.html,,,,自民,（比）九州,今村 雅弘君,いまむら まさひろ
IMAZU Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/059.jpg/%24File/059.jpg,Hokkaido Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/059.html,,,,自民,（比）北海道,今津 寛君,いまず ひろし
INADA Tomomi,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/055.jpg/%24File/055.jpg,Fukui 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/055.html,,,,自民,福井1,稲田 朋美君,いなだ ともみ
INATSU Hisashi,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/056.jpg/%24File/056.jpg,Hokkaido 10th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/056.html,,,,公明,北海道10,稲津 久君,いなつ ひさし
INO Toshiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/028.jpg/%24File/028.jpg,Gumma 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/028.html,,,,自民,群馬2,井野 俊郎君,いの としろう
INOUE Hidetaka,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/031.jpg/%24File/031.jpg,Osaka 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/031.html,,,,維新,大阪1,井上 英孝君,いのうえ ひでたか
INOUE Shinji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/029.jpg/%24File/029.jpg,Tokyo 25th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/029.html,,,,自民,東京25,井上 信治君,いのうえ しんじ
INOUE Takahiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/030.jpg/%24File/030.jpg,Fukuoka 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/030.html,,,,自民,福岡1,井上 貴博君,いのうえ たかひろ
INOUE Yoshihisa,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/032.jpg/%24File/032.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/032.html,,,,公明,（比）東北,井上 義久君,いのうえ よしひさ
ISA Shinichi,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/034.jpg/%24File/034.jpg,Osaka 6th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/034.html,,,,公明,大阪6,伊佐 進一君,いさ しんいち
ISAKA Nobuhiko,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/026.jpg/%24File/026.jpg,Hyogo 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/026.html,,,,民進,兵庫1,井坂 信彦君,いさか のぶひこ
ISHIBA Shigeru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/051.jpg/%24File/051.jpg,Tottori 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/051.html,,,,自民,鳥取1,石破 茂君,いしば しげる
ISHIDA Masatoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/050.jpg/%24File/050.jpg,Wakayama 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/050.html,,,,自民,和歌山2,石田 真敏君,いしだ まさとし
ISHIDA Noritoshi,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/049.jpg/%24File/049.jpg,Shikoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/049.html,,,,公明,（比）四国,石田 祝稔君,いしだ のりとし
ISHIHARA Hirotaka,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/053.jpg/%24File/053.jpg,Tokyo 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/053.html,,,,自民,東京3,石原 宏高君,いしはら ひろたか
ISHIHARA Nobuteru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/052.jpg/%24File/052.jpg,Tokyo 8th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/052.html,,,,自民,東京8,石原 伸晃君,いしはら のぶてる
ISHII Keiichi,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/045.jpg/%24File/045.jpg,Kita Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/045.html,,,,公明,（比）北関東,石井 啓一君,いしい けいいち
ISHIKAWA Akimasa,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/046.jpg/%24File/046.jpg,Kita Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/046.html,,,,自民,（比）北関東,石川 昭政君,いしかわ あきまさ
ISHIZAKI Toru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/047.jpg/%24File/047.jpg,Niigata 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/047.html,,,,自民,新潟1,石崎 徹君,いしざき とおる
ISHIZEKI Takashi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/048.jpg/%24File/048.jpg,Kita Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/048.html,,,,民進,（比）北関東,石関 貴史君,いしぜき たかし
ITO Nobuhisa,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/035.jpg/%24File/035.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/035.html,,,,維新,（比）近畿,伊東 信久君,いとう のぶひさ
ITO Shintaro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/037.jpg/%24File/037.jpg,Miyagi 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/037.html,,,,自民,宮城4,伊藤 信太郎君,いとう しんたろう
ITO Tadahiko,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/038.jpg/%24File/038.jpg,Aichi 8th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/038.html,,,,自民,愛知8,伊藤 忠彦君,いとう ただひこ
ITO Tatsuya,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/039.jpg/%24File/039.jpg,Tokyo 22nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/039.html,,,,自民,東京22,伊藤 達也君,いとう たつや
ITO Wataru,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/040.jpg/%24File/040.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/040.html,,,,公明,（比）東海,伊藤 渉君,いとう わたる
ITO Yoshitaka,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/036.jpg/%24File/036.jpg,Hokkaido 7th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/036.html,,,,自民,北海道7,伊東 良孝君,いとう よしたか
IWATA Kazuchika,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/061.jpg/%24File/061.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/061.html,,,,自民,（比）九州,岩田 和親君,いわた かずちか
IWAYA Takeshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/062.jpg/%24File/062.jpg,Oita 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/062.html,,,,自民,大分3,岩屋 毅君,いわや たけし
IZUMI Kenta,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/503.jpg/%24File/503.jpg,Kyoto 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/503.html,,,,民進,京都3,泉 健太君,いずみ けんた
KADO Hirofumi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/127.jpg/%24File/127.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/127.html,,,,自民,（比）近畿,門 博文君,かど ひろふみ
KADOYAMA Hiroaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/128.jpg/%24File/128.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/128.html,,,,自民,（比）南関東,門山 宏哲君,かどやま ひろあき
KAJIYAMA Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/124.jpg/%24File/124.jpg,Ibaraki 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/124.html,,,,自民,茨城4,梶山 弘志君,かじやま ひろし
KAKIZAWA Mito,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/122.jpg/%24File/122.jpg,Tokyo 15th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/122.html,,,,民進,東京15,柿沢 未途君,かきざわ みと
KAMEI Shizuka,male,Ind,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/139.jpg/%24File/139.jpg,Hiroshima 6th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/139.html,,,,無,広島6,亀井 静香君,かめい しずか
KAMEOKA Yoshitami,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/140.jpg/%24File/140.jpg,Fukushima 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/140.html,,,,自民,福島1,亀岡 偉民君,かめおか よしたみ
KAMIKAWA Yoko,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/135.jpg/%24File/135.jpg,Shizuoka 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/135.html,,,,自民,静岡1,上川 陽子君,かみかわ ようこ
KAMITANI Noboru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/136.jpg/%24File/136.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/136.html,,,,自民,（比）近畿,神谷 昇君,かみたに のぼる
KAMIYAMA Saichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/137.jpg/%24File/137.jpg,Saitama 7th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/137.html,,,,自民,埼玉7,神山 佐市君,かみやま さいち
KAMIYAMA Yosuke,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/138.jpg/%24File/138.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/138.html,,,,民進,（比）南関東,神山 洋介君,かみやま ようすけ
KAMOSHITA Ichiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/141.jpg/%24File/141.jpg,Tokyo 13th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/141.html,,,,自民,東京13,鴨下 一郎君,かもした いちろう
KAN Naoto,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/147.jpg/%24File/147.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/147.html,,,,民進,（比）東京都,菅 直人君,かん なおと
KANDA Kenji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/146.jpg/%24File/146.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/146.html,,,,自民,（比）東海,神田 憲次君,かんだ けんじ
KANEDA Katsutoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/134.jpg/%24File/134.jpg,Akita 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/134.html,,,,自民,秋田2,金田 勝年君,かねだ かつとし
KANEKO Emi,female,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/129.jpg/%24File/129.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/129.html,,,,民進,（比）東北,金子 恵美君,かねこ えみ
KANEKO Kazuyoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/130.jpg/%24File/130.jpg,Gifu 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/130.html,,,,自民,岐阜4,金子 一義君,かねこ かずよし
KANEKO Masuo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/131.jpg/%24File/131.jpg,Kagoshima 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/131.html,,,,自民,鹿児島2,金子 万寿夫君,かねこ ますお
KANEKO Megumi,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/132.jpg/%24File/132.jpg,Niigata 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/132.html,,,,自民,新潟4,金子 めぐみ君,かねこ めぐみ
KANEKO Yasushi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/133.jpg/%24File/133.jpg,Kumamoto 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/133.html,,,,自民,熊本5,金子 恭之君,かねこ やすし
KANKE Ichiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/148.jpg/%24File/148.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/148.html,,,,自民,（比）東北,菅家 一郎君,かんけ いちろう
KASAI Akira,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/123.jpg/%24File/123.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/123.html,,,,共産,（比）東京都,笠井 亮君,かさい あきら
KATO Ayuko,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/119.jpg/%24File/119.jpg,Yamagata 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/119.html,,,,自民,山形3,加藤 鮎子君,かとう あゆこ
KATO Kanji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/121.jpg/%24File/121.jpg,Nagasaki 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/121.html,,,,自民,長崎2,加藤 寛治君,かとう かんじ
KATO Katsunobu,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/120.jpg/%24File/120.jpg,Okayama 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/120.html,,,,自民,岡山5,加藤 勝信君,かとう かつのぶ
KATSUMATA Takaaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/126.jpg/%24File/126.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/126.html,,,,自民,（比）東海,勝俣 孝明君,かつまた たかあき
KATSUNUMA Shigeaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/125.jpg/%24File/125.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/125.html,,,,自民,（比）東北,勝沼 栄明君,かつぬま しげあき
KAWABATA Tatsuo,male,Ind,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/002.jpg/%24File/002.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/002.html,,,,無,（比）近畿,川端 達夫君,かわばた たつお
KAWAI Katsuyuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/143.jpg/%24File/143.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/143.html,,,,自民,広島3,河井 克行君,かわい かつゆき
KAWAMURA Takeo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/145.jpg/%24File/145.jpg,Yamaguchi 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/145.html,,,,自民,山口3,河村 建夫君,かわむら たけお
KAWANO Masami,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/144.jpg/%24File/144.jpg,Hiroshima 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/144.html,,,,維新,（比）九州,河野 正美君,かわの まさみ
KAWASAKI Jiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/142.jpg/%24File/142.jpg,Mie 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/142.html,,,,自民,三重1,川崎 二郎君,かわさき じろう
KIHARA Minoru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/153.jpg/%24File/153.jpg,Kumamoto 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/153.html,,,,自民,熊本1,木原 稔君,きはら みのる
KIHARA Seiji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/152.jpg/%24File/152.jpg,Tokyo 20th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/152.html,,,,自民,東京20,木原 誠二君,きはら せいじ
KIKAWADA Hitoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/159.jpg/%24File/159.jpg,Saitama 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/159.html,,,,自民,埼玉3,黄川田 仁志君,きかわだ ひとし
KIKAWADA Toru,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/158.jpg/%24File/158.jpg,Iwate 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/158.html,,,,民進,岩手3,黄川田 徹君,きかわだ とおる
KIKUTA Makiko,female,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/160.jpg/%24File/160.jpg,Hokuriku-Shinetsu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/160.html,,,,民進,（比）北陸信越,菊田 真紀子君,きくた まきこ
KIMURA Taro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/154.jpg/%24File/154.jpg,Aomori 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/154.html,,,,自民,青森4,木村 太郎君,きむら たろう
KIMURA Yayoi,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/155.jpg/%24File/155.jpg,Kita Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/155.html,,,,自民,（比）北関東,木村 弥生君,きむら やよい
KINOSHITA Tomohiko,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/151.jpg/%24File/151.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/151.html,,,,維新,（比）近畿,木下 智彦君,きのした ともひこ
KIRA Shuji,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/156.jpg/%24File/156.jpg,Oita 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/156.html,,,,民進,大分1,吉良 州司君,きら しゅうじ
KISHI Nobuo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/161.jpg/%24File/161.jpg,Yamaguchi 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/161.html,,,,自民,山口2,岸 信夫君,きし のぶお
KISHIDA Fumio,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/162.jpg/%24File/162.jpg,Hiroshima 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/162.html,,,,自民,広島1,岸田 文雄君,きしだ ふみお
KISHIMOTO Shuhei,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/163.jpg/%24File/163.jpg,Wakayama 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/163.html,,,,民進,和歌山1,岸本 周平君,きしもと しゅうへい
KITAGAMI Keiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/502.jpg/%24File/502.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/502.html,,,,民進,（比）近畿,北神 圭朗君,きたがみ けいろう
KITAGAWA Kazuo,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/165.jpg/%24File/165.jpg,Osaka 16th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/165.html,,,,公明,大阪16,北側 一雄君,きたがわ かずお
KITAGAWA Tomokatsu,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/164.jpg/%24File/164.jpg,Osaka 12th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/164.html,,,,自民,大阪12,北川 知克君,きたがわ ともかつ
KITAMURA Seigo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/167.jpg/%24File/167.jpg,Nagasaki 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/167.html,,,,自民,長崎4,北村 誠吾君,きたむら せいご
KITAMURA Shigeo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/166.jpg/%24File/166.jpg,Ishikawa 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/166.html,,,,自民,石川3,北村 茂男君,きたむら しげお
KIUCHI Hitoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/150.jpg/%24File/150.jpg,Hokuriku-Shinetsu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/150.html,,,,自民,（比）北陸信越,木内 均君,きうち ひとし
KIUCHI Minoru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/157.jpg/%24File/157.jpg,Shizuoka 7th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/157.html,,,,自民,静岡7,城内 実君,きうち みのる
KIUCHI Takatane,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/149.jpg/%24File/149.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/149.html,,,,民進,（比）東京都,木内 孝胤君,きうち たかたね
KOBAYASHI Fumiaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/178.jpg/%24File/178.jpg,Hiroshima 7th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/178.html,,,,自民,広島7,小林 史明君,こばやし ふみあき
KOBAYASHI Takayuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/177.jpg/%24File/177.jpg,Chiba 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/177.html,,,,自民,千葉2,小林 鷹之君,こばやし たかゆき
KOGA Atsushi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/182.jpg/%24File/182.jpg,Fukuoka 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/182.html,,,,自民,福岡3,古賀 篤君,こが あつし
KOIZUMI Ryuji,male,Ind,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/175.jpg/%24File/175.jpg,Saitama 11th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/175.html,,,,無,埼玉11,小泉 龍司君,こいずみ りゅうじ
KOIZUMI Shinjiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/174.jpg/%24File/174.jpg,Kanagawa 11th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/174.html,,,,自民,神奈川11,小泉 進次郎君,こいずみ しんじろう
KOJIMA Toshifumi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/176.jpg/%24File/176.jpg,Chugoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/176.html,,,,自民,（比）中国,小島 敏文君,こじま としふみ
KOKUBA Konosuke,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/189.jpg/%24File/189.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/189.html,,,,自民,（比）九州,國場 幸之助君,こくば こうのすけ
KOKUTA Keiji,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/190.jpg/%24File/190.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/190.html,,,,共産,（比）近畿,穀田 恵二君,こくた けいじ
KOMATSU Yutaka,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/179.jpg/%24File/179.jpg,Hokuriku-Shinetsu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/179.html,,,,自民,（比）北陸信越,小松 裕君,こまつ ゆたか
KOMIYAMA Yasuko,female,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/180.jpg/%24File/180.jpg,Kita Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/180.html,,,,民進,（比）北関東,小宮山 泰子君,こみやま やすこ
